,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Arena,Point Difference,Team v. Team,Winner
43,Mon Dec 28 2020,10:00p,Portland Trail Blazers,115,Los Angeles Lakers,107,STAPLES Center,8,Portland Trail Blazers Vs Los Angeles Lakers,Portland Trail Blazers
44,Tue Dec 29 2020,7:00p,New York Knicks,95,Cleveland Cavaliers,86,Rocket Mortgage Fieldhouse,9,New York Knicks Vs Cleveland Cavaliers,New York Knicks
45,Tue Dec 29 2020,7:00p,Golden State Warriors,116,Detroit Pistons,106,Little Caesars Arena,10,Golden State Warriors Vs Detroit Pistons,Golden State Warriors
46,Tue Dec 29 2020,7:00p,Boston Celtics,116,Indiana Pacers,111,Bankers Life Fieldhouse,5,Boston Celtics Vs Indiana Pacers,Boston Celtics
47,Tue Dec 29 2020,7:00p,Chicago Bulls,115,Washington Wizards,107,Capital One Arena,8,Chicago Bulls Vs Washington Wizards,Chicago Bulls
48,Tue Dec 29 2020,7:00p,Toronto Raptors,93,Philadelphia 76ers,100,Wells Fargo Center,7,Toronto Raptors Vs Philadelphia 76ers,Philadelphia 76ers
49,Tue Dec 29 2020,7:30p,Milwaukee Bucks,144,Miami Heat,97,AmericanAirlines Arena,47,Milwaukee Bucks Vs Miami Heat,Milwaukee Bucks
50,Tue Dec 29 2020,8:00p,Orlando Magic,118,Oklahoma City Thunder,107,Chesapeake Energy Arena,11,Orlando Magic Vs Oklahoma City Thunder,Orlando Magic
51,Tue Dec 29 2020,10:00p,New Orleans Pelicans,86,Phoenix Suns,111,Phoenix Suns Arena,25,New Orleans Pelicans Vs Phoenix Suns,Phoenix Suns
52,Tue Dec 29 2020,10:00p,Denver Nuggets,115,Sacramento Kings,125,Golden 1 Center,10,Denver Nuggets Vs Sacramento Kings,Sacramento Kings
53,Tue Dec 29 2020,10:00p,Minnesota Timberwolves,101,Los Angeles Clippers,124,STAPLES Center,23,Minnesota Timberwolves Vs Los Angeles Clippers,Los Angeles Clippers
54,Wed Dec 30 2020,7:30p,Milwaukee Bucks,108,Miami Heat,119,AmericanAirlines Arena,11,Milwaukee Bucks Vs Miami Heat,Miami Heat
55,Wed Dec 30 2020,7:30p,Atlanta Hawks,141,Brooklyn Nets,145,Barclays Center,4,Atlanta Hawks Vs Brooklyn Nets,Brooklyn Nets
56,Wed Dec 30 2020,7:30p,Memphis Grizzlies,107,Boston Celtics,126,TD Garden,19,Memphis Grizzlies Vs Boston Celtics,Boston Celtics
57,Wed Dec 30 2020,8:30p,Charlotte Hornets,118,Dallas Mavericks,99,American Airlines Center,19,Charlotte Hornets Vs Dallas Mavericks,Charlotte Hornets
58,Wed Dec 30 2020,8:30p,Los Angeles Lakers,121,San Antonio Spurs,107,AT&T Center,14,Los Angeles Lakers Vs San Antonio Spurs,Los Angeles Lakers
59,Wed Dec 30 2020,10:00p,Portland Trail Blazers,105,Los Angeles Clippers,128,STAPLES Center,23,Portland Trail Blazers Vs Los Angeles Clippers,Los Angeles Clippers
60,Thu Dec 31 2020,3:00p,Cleveland Cavaliers,99,Indiana Pacers,119,Bankers Life Fieldhouse,20,Cleveland Cavaliers Vs Indiana Pacers,Indiana Pacers
61,Thu Dec 31 2020,5:00p,Chicago Bulls,133,Washington Wizards,130,Capital One Arena,3,Chicago Bulls Vs Washington Wizards,Chicago Bulls
62,Thu Dec 31 2020,6:30p,Philadelphia 76ers,116,Orlando Magic,92,Amway Center,24,Philadelphia 76ers Vs Orlando Magic,Philadelphia 76ers
63,Thu Dec 31 2020,7:00p,Sacramento Kings,119,Houston Rockets,122,Toyota Center,3,Sacramento Kings Vs Houston Rockets,Houston Rockets
64,Thu Dec 31 2020,7:30p,New York Knicks,83,Toronto Raptors,100,Amalie Arena,17,New York Knicks Vs Toronto Raptors,Toronto Raptors
65,Thu Dec 31 2020,8:00p,New Orleans Pelicans,113,Oklahoma City Thunder,80,Chesapeake Energy Arena,33,New Orleans Pelicans Vs Oklahoma City Thunder,New Orleans Pelicans
66,Thu Dec 31 2020,9:00p,Phoenix Suns,106,Utah Jazz,95,Vivint Smart Home Arena,11,Phoenix Suns Vs Utah Jazz,Phoenix Suns
67,Fri Jan 1 2021,7:00p,Memphis Grizzlies,108,Charlotte Hornets,93,Spectrum Center,15,Memphis Grizzlies Vs Charlotte Hornets,Memphis Grizzlies
68,Fri Jan 1 2021,7:00p,Miami Heat,83,Dallas Mavericks,93,American Airlines Center,10,Miami Heat Vs Dallas Mavericks,Dallas Mavericks
69,Fri Jan 1 2021,7:00p,Boston Celtics,93,Detroit Pistons,96,Little Caesars Arena,3,Boston Celtics Vs Detroit Pistons,Detroit Pistons
70,Fri Jan 1 2021,7:30p,Atlanta Hawks,114,Brooklyn Nets,96,Barclays Center,18,Atlanta Hawks Vs Brooklyn Nets,Atlanta Hawks
71,Fri Jan 1 2021,8:00p,Chicago Bulls,96,Milwaukee Bucks,126,Fiserv Forum,30,Chicago Bulls Vs Milwaukee Bucks,Milwaukee Bucks
72,Fri Jan 1 2021,8:00p,Washington Wizards,130,Minnesota Timberwolves,109,Target Center,21,Washington Wizards Vs Minnesota Timberwolves,Washington Wizards
73,Fri Jan 1 2021,8:00p,Los Angeles Lakers,109,San Antonio Spurs,103,AT&T Center,6,Los Angeles Lakers Vs San Antonio Spurs,Los Angeles Lakers
74,Fri Jan 1 2021,9:00p,Phoenix Suns,106,Denver Nuggets,103,Ball Arena,3,Phoenix Suns Vs Denver Nuggets,Phoenix Suns
75,Fri Jan 1 2021,9:00p,Los Angeles Clippers,100,Utah Jazz,106,Vivint Smart Home Arena,6,Los Angeles Clippers Vs Utah Jazz,Utah Jazz
76,Fri Jan 1 2021,10:30p,Portland Trail Blazers,123,Golden State Warriors,98,Chase Center,25,Portland Trail Blazers Vs Golden State Warriors,Portland Trail Blazers
77,Sat Jan 2 2021,5:00p,Sacramento Kings,94,Houston Rockets,102,Toyota Center,8,Sacramento Kings Vs Houston Rockets,Houston Rockets
78,Sat Jan 2 2021,7:00p,New York Knicks,106,Indiana Pacers,102,Bankers Life Fieldhouse,4,New York Knicks Vs Indiana Pacers,New York Knicks
79,Sat Jan 2 2021,7:00p,Oklahoma City Thunder,108,Orlando Magic,99,Amway Center,9,Oklahoma City Thunder Vs Orlando Magic,Oklahoma City Thunder
80,Sat Jan 2 2021,7:00p,Charlotte Hornets,112,Philadelphia 76ers,127,Wells Fargo Center,15,Charlotte Hornets Vs Philadelphia 76ers,Philadelphia 76ers
81,Sat Jan 2 2021,7:30p,Cleveland Cavaliers,96,Atlanta Hawks,91,State Farm Arena,5,Cleveland Cavaliers Vs Atlanta Hawks,Cleveland Cavaliers
82,Sat Jan 2 2021,7:30p,Toronto Raptors,116,New Orleans Pelicans,120,Smoothie King Center,4,Toronto Raptors Vs New Orleans Pelicans,New Orleans Pelicans
83,Sun Jan 3 2021,3:00p,Boston Celtics,122,Detroit Pistons,120,Little Caesars Arena,2,Boston Celtics Vs Detroit Pistons,Boston Celtics
84,Sun Jan 3 2021,6:00p,Washington Wizards,123,Brooklyn Nets,122,Barclays Center,1,Washington Wizards Vs Brooklyn Nets,Washington Wizards
85,Sun Jan 3 2021,6:00p,Los Angeles Lakers,108,Memphis Grizzlies,94,FedEx Forum,14,Los Angeles Lakers Vs Memphis Grizzlies,Los Angeles Lakers
86,Sun Jan 3 2021,7:00p,Denver Nuggets,124,Minnesota Timberwolves,109,Target Center,15,Denver Nuggets Vs Minnesota Timberwolves,Denver Nuggets
87,Sun Jan 3 2021,7:00p,Utah Jazz,130,San Antonio Spurs,109,AT&T Center,21,Utah Jazz Vs San Antonio Spurs,Utah Jazz
88,Sun Jan 3 2021,8:00p,Dallas Mavericks,108,Chicago Bulls,118,United Center,10,Dallas Mavericks Vs Chicago Bulls,Chicago Bulls
89,Sun Jan 3 2021,8:00p,Los Angeles Clippers,112,Phoenix Suns,107,Phoenix Suns Arena,5,Los Angeles Clippers Vs Phoenix Suns,Los Angeles Clippers
90,Sun Jan 3 2021,8:30p,Portland Trail Blazers,122,Golden State Warriors,137,Chase Center,15,Portland Trail Blazers Vs Golden State Warriors,Golden State Warriors
91,Mon Jan 4 2021,7:00p,Cleveland Cavaliers,83,Orlando Magic,103,Amway Center,20,Cleveland Cavaliers Vs Orlando Magic,Orlando Magic
92,Mon Jan 4 2021,7:00p,Charlotte Hornets,101,Philadelphia 76ers,118,Wells Fargo Center,17,Charlotte Hornets Vs Philadelphia 76ers,Philadelphia 76ers
93,Mon Jan 4 2021,7:30p,New York Knicks,113,Atlanta Hawks,108,State Farm Arena,5,New York Knicks Vs Atlanta Hawks,New York Knicks
94,Mon Jan 4 2021,7:30p,Oklahoma City Thunder,90,Miami Heat,118,AmericanAirlines Arena,28,Oklahoma City Thunder Vs Miami Heat,Miami Heat
95,Mon Jan 4 2021,7:30p,Boston Celtics,126,Toronto Raptors,114,Amalie Arena,12,Boston Celtics Vs Toronto Raptors,Boston Celtics
96,Mon Jan 4 2021,8:00p,Dallas Mavericks,113,Houston Rockets,100,Toyota Center,13,Dallas Mavericks Vs Houston Rockets,Dallas Mavericks
97,Mon Jan 4 2021,8:00p,Detroit Pistons,115,Milwaukee Bucks,125,Fiserv Forum,10,Detroit Pistons Vs Milwaukee Bucks,Milwaukee Bucks
98,Mon Jan 4 2021,8:00p,Indiana Pacers,118,New Orleans Pelicans,116,Smoothie King Center,2,Indiana Pacers Vs New Orleans Pelicans,Indiana Pacers
99,Mon Jan 4 2021,10:00p,Sacramento Kings,106,Golden State Warriors,137,Chase Center,31,Sacramento Kings Vs Golden State Warriors,Golden State Warriors
100,Tue Jan 5 2021,7:30p,Utah Jazz,96,Brooklyn Nets,130,Barclays Center,34,Utah Jazz Vs Brooklyn Nets,Brooklyn Nets
101,Tue Jan 5 2021,8:00p,Los Angeles Lakers,94,Memphis Grizzlies,92,FedEx Forum,2,Los Angeles Lakers Vs Memphis Grizzlies,Los Angeles Lakers
102,Tue Jan 5 2021,9:00p,Minnesota Timberwolves,116,Denver Nuggets,123,Ball Arena,7,Minnesota Timberwolves Vs Denver Nuggets,Denver Nuggets
103,Tue Jan 5 2021,10:00p,San Antonio Spurs,116,Los Angeles Clippers,113,STAPLES Center,3,San Antonio Spurs Vs Los Angeles Clippers,San Antonio Spurs
104,Tue Jan 5 2021,10:30p,Chicago Bulls,111,Portland Trail Blazers,108,Moda Center,3,Chicago Bulls Vs Portland Trail Blazers,Chicago Bulls
105,Wed Jan 6 2021,7:00p,Houston Rockets,107,Indiana Pacers,114,Bankers Life Fieldhouse,7,Houston Rockets Vs Indiana Pacers,Indiana Pacers
106,Wed Jan 6 2021,7:00p,Cleveland Cavaliers,94,Orlando Magic,105,Amway Center,11,Cleveland Cavaliers Vs Orlando Magic,Orlando Magic
107,Wed Jan 6 2021,7:00p,Washington Wizards,136,Philadelphia 76ers,141,Wells Fargo Center,5,Washington Wizards Vs Philadelphia 76ers,Philadelphia 76ers
108,Wed Jan 6 2021,7:30p,Charlotte Hornets,102,Atlanta Hawks,94,State Farm Arena,8,Charlotte Hornets Vs Atlanta Hawks,Charlotte Hornets
109,Wed Jan 6 2021,7:30p,Boston Celtics,107,Miami Heat,105,AmericanAirlines Arena,2,Boston Celtics Vs Miami Heat,Boston Celtics
110,Wed Jan 6 2021,7:30p,Utah Jazz,100,New York Knicks,112,Madison Square Garden (IV),12,Utah Jazz Vs New York Knicks,New York Knicks
111,Wed Jan 6 2021,8:00p,Detroit Pistons,115,Milwaukee Bucks,130,Fiserv Forum,15,Detroit Pistons Vs Milwaukee Bucks,Milwaukee Bucks
112,Wed Jan 6 2021,8:00p,Oklahoma City Thunder,111,New Orleans Pelicans,110,Smoothie King Center,1,Oklahoma City Thunder Vs New Orleans Pelicans,Oklahoma City Thunder
113,Wed Jan 6 2021,9:00p,Toronto Raptors,115,Phoenix Suns,123,Phoenix Suns Arena,8,Toronto Raptors Vs Phoenix Suns,Phoenix Suns
114,Wed Jan 6 2021,10:00p,Los Angeles Clippers,108,Golden State Warriors,101,Chase Center,7,Los Angeles Clippers Vs Golden State Warriors,Los Angeles Clippers
115,Wed Jan 6 2021,10:00p,Chicago Bulls,124,Sacramento Kings,128,Golden 1 Center,4,Chicago Bulls Vs Sacramento Kings,Sacramento Kings
116,Thu Jan 7 2021,7:30p,Philadelphia 76ers,109,Brooklyn Nets,122,Barclays Center,13,Philadelphia 76ers Vs Brooklyn Nets,Brooklyn Nets
117,Thu Jan 7 2021,8:00p,Cleveland Cavaliers,94,Memphis Grizzlies,90,FedEx Forum,4,Cleveland Cavaliers Vs Memphis Grizzlies,Cleveland Cavaliers
118,Thu Jan 7 2021,10:00p,Dallas Mavericks,124,Denver Nuggets,117,Ball Arena,7,Dallas Mavericks Vs Denver Nuggets,Dallas Mavericks
119,Thu Jan 7 2021,10:00p,San Antonio Spurs,118,Los Angeles Lakers,109,STAPLES Center,9,San Antonio Spurs Vs Los Angeles Lakers,San Antonio Spurs
120,Thu Jan 7 2021,10:00p,Minnesota Timberwolves,117,Portland Trail Blazers,135,Moda Center,18,Minnesota Timberwolves Vs Portland Trail Blazers,Portland Trail Blazers
121,Fri Jan 8 2021,7:00p,Phoenix Suns,105,Detroit Pistons,110,Little Caesars Arena,5,Phoenix Suns Vs Detroit Pistons,Detroit Pistons
122,Fri Jan 8 2021,7:30p,Washington Wizards,107,Boston Celtics,116,TD Garden,9,Washington Wizards Vs Boston Celtics,Boston Celtics
123,Fri Jan 8 2021,7:30p,Charlotte Hornets,118,New Orleans Pelicans,110,Smoothie King Center,8,Charlotte Hornets Vs New Orleans Pelicans,Charlotte Hornets
124,Fri Jan 8 2021,7:30p,Oklahoma City Thunder,101,New York Knicks,89,Madison Square Garden (IV),12,Oklahoma City Thunder Vs New York Knicks,Oklahoma City Thunder
125,Fri Jan 8 2021,8:00p,Orlando Magic,90,Houston Rockets,132,Toyota Center,42,Orlando Magic Vs Houston Rockets,Houston Rockets
126,Fri Jan 8 2021,8:00p,Brooklyn Nets,110,Memphis Grizzlies,115,FedEx Forum,5,Brooklyn Nets Vs Memphis Grizzlies,Memphis Grizzlies
127,Fri Jan 8 2021,8:00p,Utah Jazz,131,Milwaukee Bucks,118,Fiserv Forum,13,Utah Jazz Vs Milwaukee Bucks,Utah Jazz
128,Fri Jan 8 2021,10:00p,Los Angeles Clippers,105,Golden State Warriors,115,Chase Center,10,Los Angeles Clippers Vs Golden State Warriors,Golden State Warriors
129,Fri Jan 8 2021,10:00p,Chicago Bulls,115,Los Angeles Lakers,117,STAPLES Center,2,Chicago Bulls Vs Los Angeles Lakers,Los Angeles Lakers
130,Fri Jan 8 2021,10:00p,Toronto Raptors,144,Sacramento Kings,123,Golden 1 Center,21,Toronto Raptors Vs Sacramento Kings,Toronto Raptors
131,Sat Jan 9 2021,3:00p,Denver Nuggets,115,Philadelphia 76ers,103,Wells Fargo Center,12,Denver Nuggets Vs Philadelphia 76ers,Denver Nuggets
132,Sat Jan 9 2021,7:00p,Atlanta Hawks,105,Charlotte Hornets,113,Spectrum Center,8,Atlanta Hawks Vs Charlotte Hornets,Charlotte Hornets
133,Sat Jan 9 2021,7:00p,Phoenix Suns,125,Indiana Pacers,117,Bankers Life Fieldhouse,8,Phoenix Suns Vs Indiana Pacers,Phoenix Suns
134,Sat Jan 9 2021,7:00p,Miami Heat,128,Washington Wizards,124,Capital One Arena,4,Miami Heat Vs Washington Wizards,Miami Heat
135,Sat Jan 9 2021,8:00p,Cleveland Cavaliers,90,Milwaukee Bucks,100,Fiserv Forum,10,Cleveland Cavaliers Vs Milwaukee Bucks,Milwaukee Bucks
136,Sat Jan 9 2021,8:00p,San Antonio Spurs,125,Minnesota Timberwolves,122,Target Center,3,San Antonio Spurs Vs Minnesota Timberwolves,San Antonio Spurs
137,Sat Jan 9 2021,8:30p,Orlando Magic,98,Dallas Mavericks,112,American Airlines Center,14,Orlando Magic Vs Dallas Mavericks,Dallas Mavericks
138,Sat Jan 9 2021,10:00p,Portland Trail Blazers,125,Sacramento Kings,99,Golden 1 Center,26,Portland Trail Blazers Vs Sacramento Kings,Portland Trail Blazers
139,Sun Jan 10 2021,3:00p,Utah Jazz,96,Detroit Pistons,86,Little Caesars Arena,10,Utah Jazz Vs Detroit Pistons,Utah Jazz
140,Sun Jan 10 2021,4:00p,Chicago Bulls,127,Los Angeles Clippers,130,STAPLES Center,3,Chicago Bulls Vs Los Angeles Clippers,Los Angeles Clippers
141,Sun Jan 10 2021,6:00p,Oklahoma City Thunder,129,Brooklyn Nets,116,Barclays Center,13,Oklahoma City Thunder Vs Brooklyn Nets,Oklahoma City Thunder
142,Sun Jan 10 2021,6:00p,Denver Nuggets,114,New York Knicks,89,Madison Square Garden (IV),25,Denver Nuggets Vs New York Knicks,Denver Nuggets
143,Sun Jan 10 2021,7:00p,Los Angeles Lakers,120,Houston Rockets,102,Toyota Center,18,Los Angeles Lakers Vs Houston Rockets,Los Angeles Lakers
144,Sun Jan 10 2021,8:00p,San Antonio Spurs,88,Minnesota Timberwolves,96,Target Center,8,San Antonio Spurs Vs Minnesota Timberwolves,Minnesota Timberwolves
145,Sun Jan 10 2021,8:30p,Toronto Raptors,105,Golden State Warriors,106,Chase Center,1,Toronto Raptors Vs Golden State Warriors,Golden State Warriors
146,Mon Jan 11 2021,7:00p,New York Knicks,88,Charlotte Hornets,109,Spectrum Center,21,New York Knicks Vs Charlotte Hornets,Charlotte Hornets
147,Mon Jan 11 2021,7:00p,Memphis Grizzlies,101,Cleveland Cavaliers,91,Rocket Mortgage Fieldhouse,10,Memphis Grizzlies Vs Cleveland Cavaliers,Memphis Grizzlies
148,Mon Jan 11 2021,7:00p,Milwaukee Bucks,121,Orlando Magic,99,Amway Center,22,Milwaukee Bucks Vs Orlando Magic,Milwaukee Bucks
149,Mon Jan 11 2021,7:00p,Phoenix Suns,107,Washington Wizards,128,Capital One Arena,21,Phoenix Suns Vs Washington Wizards,Washington Wizards
150,Mon Jan 11 2021,7:30p,Philadelphia 76ers,94,Atlanta Hawks,112,State Farm Arena,18,Philadelphia 76ers Vs Atlanta Hawks,Atlanta Hawks
151,Mon Jan 11 2021,10:00p,Toronto Raptors,111,Portland Trail Blazers,112,Moda Center,1,Toronto Raptors Vs Portland Trail Blazers,Portland Trail Blazers
152,Mon Jan 11 2021,10:00p,Indiana Pacers,122,Sacramento Kings,127,Golden 1 Center,5,Indiana Pacers Vs Sacramento Kings,Sacramento Kings
153,Tue Jan 12 2021,7:00p,Miami Heat,134,Philadelphia 76ers,137,Wells Fargo Center,3,Miami Heat Vs Philadelphia 76ers,Philadelphia 76ers
154,Tue Jan 12 2021,7:30p,Denver Nuggets,116,Brooklyn Nets,122,Barclays Center,6,Denver Nuggets Vs Brooklyn Nets,Brooklyn Nets
155,Tue Jan 12 2021,7:30p,Utah Jazz,117,Cleveland Cavaliers,87,Rocket Mortgage Fieldhouse,30,Utah Jazz Vs Cleveland Cavaliers,Utah Jazz
156,Tue Jan 12 2021,8:00p,Los Angeles Lakers,117,Houston Rockets,100,Toyota Center,17,Los Angeles Lakers Vs Houston Rockets,Los Angeles Lakers
157,Tue Jan 12 2021,8:00p,San Antonio Spurs,112,Oklahoma City Thunder,102,Chesapeake Energy Arena,10,San Antonio Spurs Vs Oklahoma City Thunder,San Antonio Spurs
158,Tue Jan 12 2021,10:30p,Indiana Pacers,104,Golden State Warriors,95,Chase Center,9,Indiana Pacers Vs Golden State Warriors,Indiana Pacers
159,Wed Jan 13 2021,7:00p,Dallas Mavericks,104,Charlotte Hornets,93,Spectrum Center,11,Dallas Mavericks Vs Charlotte Hornets,Dallas Mavericks
160,Wed Jan 13 2021,7:00p,Milwaukee Bucks,110,Detroit Pistons,101,Little Caesars Arena,9,Milwaukee Bucks Vs Detroit Pistons,Milwaukee Bucks
161,Wed Jan 13 2021,7:30p,Brooklyn Nets,116,New York Knicks,109,Madison Square Garden (IV),7,Brooklyn Nets Vs New York Knicks,Brooklyn Nets
162,Wed Jan 13 2021,8:00p,Memphis Grizzlies,118,Minnesota Timberwolves,107,Target Center,11,Memphis Grizzlies Vs Minnesota Timberwolves,Memphis Grizzlies
163,Wed Jan 13 2021,8:00p,Los Angeles Lakers,128,Oklahoma City Thunder,99,Chesapeake Energy Arena,29,Los Angeles Lakers Vs Oklahoma City Thunder,Los Angeles Lakers
