,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Arena,Point Difference,Team v. Team,Winner
0,Tue Dec 22 2020,7:00p,Golden State Warriors,99,Brooklyn Nets,125,Barclays Center,26,Golden State Warriors Vs Brooklyn Nets,Brooklyn Nets
1,Tue Dec 22 2020,10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,STAPLES Center,7,Los Angeles Clippers Vs Los Angeles Lakers,Los Angeles Clippers
2,Wed Dec 23 2020,7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,Rocket Mortgage Fieldhouse,7,Charlotte Hornets Vs Cleveland Cavaliers,Cleveland Cavaliers
3,Wed Dec 23 2020,7:00p,New York Knicks,107,Indiana Pacers,121,Bankers Life Fieldhouse,14,New York Knicks Vs Indiana Pacers,Indiana Pacers
4,Wed Dec 23 2020,7:00p,Miami Heat,107,Orlando Magic,113,Amway Center,6,Miami Heat Vs Orlando Magic,Orlando Magic
5,Wed Dec 23 2020,7:00p,Washington Wizards,107,Philadelphia 76ers,113,Wells Fargo Center,6,Washington Wizards Vs Philadelphia 76ers,Philadelphia 76ers
6,Wed Dec 23 2020,7:30p,New Orleans Pelicans,113,Toronto Raptors,99,Amalie Arena,14,New Orleans Pelicans Vs Toronto Raptors,New Orleans Pelicans
7,Wed Dec 23 2020,7:30p,Milwaukee Bucks,121,Boston Celtics,122,TD Garden,1,Milwaukee Bucks Vs Boston Celtics,Boston Celtics
8,Wed Dec 23 2020,8:00p,Atlanta Hawks,124,Chicago Bulls,104,United Center,20,Atlanta Hawks Vs Chicago Bulls,Atlanta Hawks
9,Wed Dec 23 2020,8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,FedEx Forum,12,San Antonio Spurs Vs Memphis Grizzlies,San Antonio Spurs
10,Wed Dec 23 2020,8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,Target Center,10,Detroit Pistons Vs Minnesota Timberwolves,Minnesota Timberwolves
11,Wed Dec 23 2020,9:00p,Sacramento Kings,124,Denver Nuggets,122,Ball Arena,2,Sacramento Kings Vs Denver Nuggets,Sacramento Kings
12,Wed Dec 23 2020,10:00p,Utah Jazz,120,Portland Trail Blazers,100,Moda Center,20,Utah Jazz Vs Portland Trail Blazers,Utah Jazz
13,Wed Dec 23 2020,10:30p,Dallas Mavericks,102,Phoenix Suns,106,Phoenix Suns Arena,4,Dallas Mavericks Vs Phoenix Suns,Phoenix Suns
14,Fri Dec 25 2020,12:00p,New Orleans Pelicans,98,Miami Heat,111,AmericanAirlines Arena,13,New Orleans Pelicans Vs Miami Heat,Miami Heat
15,Fri Dec 25 2020,2:30p,Golden State Warriors,99,Milwaukee Bucks,138,Fiserv Forum,39,Golden State Warriors Vs Milwaukee Bucks,Milwaukee Bucks
16,Fri Dec 25 2020,5:00p,Brooklyn Nets,123,Boston Celtics,95,TD Garden,28,Brooklyn Nets Vs Boston Celtics,Brooklyn Nets
17,Fri Dec 25 2020,8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,STAPLES Center,23,Dallas Mavericks Vs Los Angeles Lakers,Los Angeles Lakers
18,Fri Dec 25 2020,10:30p,Los Angeles Clippers,121,Denver Nuggets,108,Ball Arena,13,Los Angeles Clippers Vs Denver Nuggets,Los Angeles Clippers
19,Sat Dec 26 2020,5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,FedEx Forum,10,Atlanta Hawks Vs Memphis Grizzlies,Atlanta Hawks
20,Sat Dec 26 2020,7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,Spectrum Center,2,Oklahoma City Thunder Vs Charlotte Hornets,Oklahoma City Thunder
21,Sat Dec 26 2020,7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,Little Caesars Arena,9,Cleveland Cavaliers Vs Detroit Pistons,Cleveland Cavaliers
22,Sat Dec 26 2020,7:00p,Orlando Magic,130,Washington Wizards,120,Capital One Arena,10,Orlando Magic Vs Washington Wizards,Orlando Magic
23,Sat Dec 26 2020,7:30p,Philadelphia 76ers,109,New York Knicks,89,Madison Square Garden (IV),20,Philadelphia 76ers Vs New York Knicks,Philadelphia 76ers
24,Sat Dec 26 2020,8:00p,Indiana Pacers,125,Chicago Bulls,106,United Center,19,Indiana Pacers Vs Chicago Bulls,Indiana Pacers
25,Sat Dec 26 2020,8:30p,Toronto Raptors,114,San Antonio Spurs,119,AT&T Center,5,Toronto Raptors Vs San Antonio Spurs,San Antonio Spurs
26,Sat Dec 26 2020,9:00p,Minnesota Timberwolves,116,Utah Jazz,111,Vivint Smart Home Arena,5,Minnesota Timberwolves Vs Utah Jazz,Minnesota Timberwolves
27,Sat Dec 26 2020,10:00p,Houston Rockets,126,Portland Trail Blazers,128,Moda Center,2,Houston Rockets Vs Portland Trail Blazers,Portland Trail Blazers
28,Sat Dec 26 2020,10:00p,Phoenix Suns,103,Sacramento Kings,106,Golden 1 Center,3,Phoenix Suns Vs Sacramento Kings,Sacramento Kings
29,Sun Dec 27 2020,3:30p,Dallas Mavericks,124,Los Angeles Clippers,73,STAPLES Center,51,Dallas Mavericks Vs Los Angeles Clippers,Dallas Mavericks
30,Sun Dec 27 2020,7:00p,San Antonio Spurs,95,New Orleans Pelicans,98,Smoothie King Center,3,San Antonio Spurs Vs New Orleans Pelicans,New Orleans Pelicans
31,Sun Dec 27 2020,7:00p,Orlando Magic,120,Washington Wizards,113,Capital One Arena,7,Orlando Magic Vs Washington Wizards,Orlando Magic
32,Sun Dec 27 2020,7:00p,Brooklyn Nets,104,Charlotte Hornets,106,Spectrum Center,2,Brooklyn Nets Vs Charlotte Hornets,Charlotte Hornets
33,Sun Dec 27 2020,7:30p,Philadelphia 76ers,94,Cleveland Cavaliers,118,Rocket Mortgage Fieldhouse,24,Philadelphia 76ers Vs Cleveland Cavaliers,Cleveland Cavaliers
34,Sun Dec 27 2020,7:30p,Milwaukee Bucks,110,New York Knicks,130,Madison Square Garden (IV),20,Milwaukee Bucks Vs New York Knicks,New York Knicks
35,Sun Dec 27 2020,8:00p,Boston Celtics,107,Indiana Pacers,108,Bankers Life Fieldhouse,1,Boston Celtics Vs Indiana Pacers,Indiana Pacers
36,Sun Dec 27 2020,8:00p,Golden State Warriors,129,Chicago Bulls,128,United Center,1,Golden State Warriors Vs Chicago Bulls,Golden State Warriors
37,Sun Dec 27 2020,9:00p,Phoenix Suns,116,Sacramento Kings,100,Golden 1 Center,16,Phoenix Suns Vs Sacramento Kings,Phoenix Suns
38,Sun Dec 27 2020,10:00p,Minnesota Timberwolves,91,Los Angeles Lakers,127,STAPLES Center,36,Minnesota Timberwolves Vs Los Angeles Lakers,Los Angeles Lakers
39,Mon Dec 28 2020,7:30p,Memphis Grizzlies,116,Brooklyn Nets,111,Barclays Center,5,Memphis Grizzlies Vs Brooklyn Nets,Memphis Grizzlies
40,Mon Dec 28 2020,7:30p,Detroit Pistons,120,Atlanta Hawks,128,State Farm Arena,8,Detroit Pistons Vs Atlanta Hawks,Atlanta Hawks
41,Mon Dec 28 2020,8:00p,Utah Jazz,110,Oklahoma City Thunder,109,Chesapeake Energy Arena,1,Utah Jazz Vs Oklahoma City Thunder,Utah Jazz
42,Mon Dec 28 2020,9:00p,Houston Rockets,111,Denver Nuggets,124,Ball Arena,13,Houston Rockets Vs Denver Nuggets,Denver Nuggets
