,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Arena,Point Difference,Team v. Team,Winner
759,Tue Feb 1 2022,7:30p,Washington Wizards,98,Milwaukee Bucks,112,Fiserv Forum,14,Washington Wizards Vs Milwaukee Bucks,Milwaukee Bucks
760,Tue Feb 1 2022,7:30p,Miami Heat,106,Toronto Raptors,110,Scotiabank Arena,4,Miami Heat Vs Toronto Raptors,Toronto Raptors
761,Tue Feb 1 2022,8:00p,Orlando Magic,115,Chicago Bulls,126,United Center,11,Orlando Magic Vs Chicago Bulls,Chicago Bulls
762,Tue Feb 1 2022,8:00p,Denver Nuggets,115,Minnesota Timberwolves,130,Target Center,15,Denver Nuggets Vs Minnesota Timberwolves,Minnesota Timberwolves
763,Tue Feb 1 2022,8:30p,Golden State Warriors,124,San Antonio Spurs,120,AT&T Center,4,Golden State Warriors Vs San Antonio Spurs,Golden State Warriors
764,Tue Feb 1 2022,10:00p,Brooklyn Nets,111,Phoenix Suns,121,Phoenix Suns Arena,10,Brooklyn Nets Vs Phoenix Suns,Phoenix Suns
765,Wed Feb 2 2022,7:00p,Orlando Magic,119,Indiana Pacers,118,Gainbridge Fieldhouse,1,Orlando Magic Vs Indiana Pacers,Orlando Magic
766,Wed Feb 2 2022,7:00p,Washington Wizards,106,Philadelphia 76ers,103,Wells Fargo Center,3,Washington Wizards Vs Philadelphia 76ers,Washington Wizards
767,Wed Feb 2 2022,7:30p,Charlotte Hornets,107,Boston Celtics,113,TD Garden,6,Charlotte Hornets Vs Boston Celtics,Boston Celtics
768,Wed Feb 2 2022,7:30p,Memphis Grizzlies,120,New York Knicks,108,Madison Square Garden (IV),12,Memphis Grizzlies Vs New York Knicks,Memphis Grizzlies
769,Wed Feb 2 2022,8:00p,Cleveland Cavaliers,104,Houston Rockets,115,Toyota Center,11,Cleveland Cavaliers Vs Houston Rockets,Houston Rockets
770,Wed Feb 2 2022,8:30p,Oklahoma City Thunder,120,Dallas Mavericks,114,American Airlines Center,6,Oklahoma City Thunder Vs Dallas Mavericks,Oklahoma City Thunder
771,Wed Feb 2 2022,10:00p,Brooklyn Nets,101,Sacramento Kings,112,Golden 1 Center,11,Brooklyn Nets Vs Sacramento Kings,Sacramento Kings
772,Wed Feb 2 2022,10:00p,Denver Nuggets,104,Utah Jazz,108,Vivint Smart Home Arena,4,Denver Nuggets Vs Utah Jazz,Utah Jazz
773,Wed Feb 2 2022,10:30p,Portland Trail Blazers,94,Los Angeles Lakers,99,Crypto.com Arena,5,Portland Trail Blazers Vs Los Angeles Lakers,Los Angeles Lakers
774,Thu Feb 3 2022,7:00p,Minnesota Timberwolves,128,Detroit Pistons,117,Little Caesars Arena,11,Minnesota Timberwolves Vs Detroit Pistons,Minnesota Timberwolves
775,Thu Feb 3 2022,7:00p,Miami Heat,112,San Antonio Spurs,95,AT&T Center,17,Miami Heat Vs San Antonio Spurs,Miami Heat
776,Thu Feb 3 2022,7:30p,Phoenix Suns,115,Atlanta Hawks,124,State Farm Arena,9,Phoenix Suns Vs Atlanta Hawks,Atlanta Hawks
777,Thu Feb 3 2022,7:30p,Chicago Bulls,120,Toronto Raptors,127,Scotiabank Arena,7,Chicago Bulls Vs Toronto Raptors,Toronto Raptors
778,Thu Feb 3 2022,10:00p,Sacramento Kings,114,Golden State Warriors,126,Chase Center,12,Sacramento Kings Vs Golden State Warriors,Golden State Warriors
779,Thu Feb 3 2022,10:00p,Los Angeles Lakers,110,Los Angeles Clippers,111,Crypto.com Arena,1,Los Angeles Lakers Vs Los Angeles Clippers,Los Angeles Clippers
780,Fri Feb 4 2022,7:00p,Cleveland Cavaliers,102,Charlotte Hornets,101,Spectrum Center,1,Cleveland Cavaliers Vs Charlotte Hornets,Cleveland Cavaliers
781,Fri Feb 4 2022,7:00p,Boston Celtics,102,Detroit Pistons,93,Little Caesars Arena,9,Boston Celtics Vs Detroit Pistons,Boston Celtics
782,Fri Feb 4 2022,7:00p,Chicago Bulls,122,Indiana Pacers,115,Gainbridge Fieldhouse,7,Chicago Bulls Vs Indiana Pacers,Chicago Bulls
783,Fri Feb 4 2022,7:30p,Atlanta Hawks,114,Toronto Raptors,125,Scotiabank Arena,11,Atlanta Hawks Vs Toronto Raptors,Toronto Raptors
784,Fri Feb 4 2022,8:30p,Houston Rockets,106,San Antonio Spurs,131,AT&T Center,25,Houston Rockets Vs San Antonio Spurs,San Antonio Spurs
785,Fri Feb 4 2022,9:00p,New Orleans Pelicans,113,Denver Nuggets,105,Ball Arena,8,New Orleans Pelicans Vs Denver Nuggets,New Orleans Pelicans
786,Fri Feb 4 2022,9:00p,Brooklyn Nets,102,Utah Jazz,125,Vivint Smart Home Arena,23,Brooklyn Nets Vs Utah Jazz,Utah Jazz
787,Fri Feb 4 2022,10:00p,Philadelphia 76ers,98,Dallas Mavericks,107,American Airlines Center,9,Philadelphia 76ers Vs Dallas Mavericks,Dallas Mavericks
788,Fri Feb 4 2022,10:00p,Oklahoma City Thunder,96,Portland Trail Blazers,93,Moda Center,3,Oklahoma City Thunder Vs Portland Trail Blazers,Oklahoma City Thunder
789,Sat Feb 5 2022,5:00p,Memphis Grizzlies,135,Orlando Magic,115,Amway Center,20,Memphis Grizzlies Vs Orlando Magic,Memphis Grizzlies
790,Sat Feb 5 2022,7:00p,Miami Heat,104,Charlotte Hornets,86,Spectrum Center,18,Miami Heat Vs Charlotte Hornets,Miami Heat
791,Sat Feb 5 2022,7:00p,Phoenix Suns,95,Washington Wizards,80,Capital One Arena,15,Phoenix Suns Vs Washington Wizards,Phoenix Suns
792,Sat Feb 5 2022,8:30p,New York Knicks,115,Los Angeles Lakers,122,Crypto.com Arena,7,New York Knicks Vs Los Angeles Lakers,Los Angeles Lakers
793,Sat Feb 5 2022,10:00p,Milwaukee Bucks,137,Portland Trail Blazers,108,Moda Center,29,Milwaukee Bucks Vs Portland Trail Blazers,Milwaukee Bucks
794,Sat Feb 5 2022,10:00p,Oklahoma City Thunder,103,Sacramento Kings,113,Golden 1 Center,10,Oklahoma City Thunder Vs Sacramento Kings,Sacramento Kings
795,Sun Feb 6 2022,3:30p,Philadelphia 76ers,119,Chicago Bulls,108,United Center,11,Philadelphia 76ers Vs Chicago Bulls,Philadelphia 76ers
796,Sun Feb 6 2022,3:30p,Brooklyn Nets,104,Denver Nuggets,124,Ball Arena,20,Brooklyn Nets Vs Denver Nuggets,Denver Nuggets
797,Sun Feb 6 2022,3:30p,Detroit Pistons,105,Minnesota Timberwolves,118,Target Center,13,Detroit Pistons Vs Minnesota Timberwolves,Minnesota Timberwolves
798,Sun Feb 6 2022,6:00p,Indiana Pacers,85,Cleveland Cavaliers,98,Rocket Mortgage Fieldhouse,13,Indiana Pacers Vs Cleveland Cavaliers,Cleveland Cavaliers
799,Sun Feb 6 2022,6:00p,Atlanta Hawks,94,Dallas Mavericks,103,American Airlines Center,9,Atlanta Hawks Vs Dallas Mavericks,Dallas Mavericks
800,Sun Feb 6 2022,6:00p,Boston Celtics,116,Orlando Magic,83,Amway Center,33,Boston Celtics Vs Orlando Magic,Boston Celtics
801,Sun Feb 6 2022,7:00p,New Orleans Pelicans,120,Houston Rockets,107,Toyota Center,13,New Orleans Pelicans Vs Houston Rockets,New Orleans Pelicans
802,Sun Feb 6 2022,9:00p,Milwaukee Bucks,137,Los Angeles Clippers,113,Crypto.com Arena,24,Milwaukee Bucks Vs Los Angeles Clippers,Milwaukee Bucks
803,Mon Feb 7 2022,7:00p,Toronto Raptors,116,Charlotte Hornets,101,Spectrum Center,15,Toronto Raptors Vs Charlotte Hornets,Toronto Raptors
804,Mon Feb 7 2022,7:00p,Miami Heat,121,Washington Wizards,100,Capital One Arena,21,Miami Heat Vs Washington Wizards,Miami Heat
805,Mon Feb 7 2022,8:00p,Phoenix Suns,127,Chicago Bulls,124,United Center,3,Phoenix Suns Vs Chicago Bulls,Phoenix Suns
806,Mon Feb 7 2022,8:00p,Golden State Warriors,110,Oklahoma City Thunder,98,Paycom Center,12,Golden State Warriors Vs Oklahoma City Thunder,Golden State Warriors
807,Mon Feb 7 2022,9:00p,New York Knicks,104,Utah Jazz,113,Vivint Smart Home Arena,9,New York Knicks Vs Utah Jazz,Utah Jazz
808,Tue Feb 8 2022,7:00p,Phoenix Suns,114,Philadelphia 76ers,109,Wells Fargo Center,5,Phoenix Suns Vs Philadelphia 76ers,Phoenix Suns
809,Tue Feb 8 2022,7:30p,Indiana Pacers,112,Atlanta Hawks,133,State Farm Arena,21,Indiana Pacers Vs Atlanta Hawks,Atlanta Hawks
810,Tue Feb 8 2022,7:30p,Boston Celtics,126,Brooklyn Nets,91,Barclays Center,35,Boston Celtics Vs Brooklyn Nets,Boston Celtics
811,Tue Feb 8 2022,8:00p,Los Angeles Clippers,109,Memphis Grizzlies,135,FedEx Forum,26,Los Angeles Clippers Vs Memphis Grizzlies,Memphis Grizzlies
812,Tue Feb 8 2022,8:00p,Houston Rockets,97,New Orleans Pelicans,110,Smoothie King Center,13,Houston Rockets Vs New Orleans Pelicans,New Orleans Pelicans
813,Tue Feb 8 2022,8:30p,Detroit Pistons,86,Dallas Mavericks,116,American Airlines Center,30,Detroit Pistons Vs Dallas Mavericks,Dallas Mavericks
814,Tue Feb 8 2022,9:00p,New York Knicks,115,Denver Nuggets,132,Ball Arena,17,New York Knicks Vs Denver Nuggets,Denver Nuggets
815,Tue Feb 8 2022,10:00p,Milwaukee Bucks,131,Los Angeles Lakers,116,Crypto.com Arena,15,Milwaukee Bucks Vs Los Angeles Lakers,Milwaukee Bucks
816,Tue Feb 8 2022,10:00p,Orlando Magic,113,Portland Trail Blazers,95,Moda Center,18,Orlando Magic Vs Portland Trail Blazers,Orlando Magic
817,Tue Feb 8 2022,10:00p,Minnesota Timberwolves,134,Sacramento Kings,114,Golden 1 Center,20,Minnesota Timberwolves Vs Sacramento Kings,Minnesota Timberwolves
818,Wed Feb 9 2022,7:00p,San Antonio Spurs,92,Cleveland Cavaliers,105,Rocket Mortgage Fieldhouse,13,San Antonio Spurs Vs Cleveland Cavaliers,Cleveland Cavaliers
819,Wed Feb 9 2022,7:30p,Chicago Bulls,121,Charlotte Hornets,109,Spectrum Center,12,Chicago Bulls Vs Charlotte Hornets,Chicago Bulls
820,Wed Feb 9 2022,8:00p,Toronto Raptors,117,Oklahoma City Thunder,98,Paycom Center,19,Toronto Raptors Vs Oklahoma City Thunder,Toronto Raptors
821,Wed Feb 9 2022,10:00p,Los Angeles Lakers,105,Portland Trail Blazers,107,Moda Center,2,Los Angeles Lakers Vs Portland Trail Blazers,Portland Trail Blazers
822,Wed Feb 9 2022,10:00p,Minnesota Timberwolves,119,Sacramento Kings,132,Golden 1 Center,13,Minnesota Timberwolves Vs Sacramento Kings,Sacramento Kings
823,Wed Feb 9 2022,10:00p,Golden State Warriors,85,Utah Jazz,111,Vivint Smart Home Arena,26,Golden State Warriors Vs Utah Jazz,Utah Jazz
824,Thu Feb 10 2022,7:00p,Memphis Grizzlies,132,Detroit Pistons,107,Little Caesars Arena,25,Memphis Grizzlies Vs Detroit Pistons,Memphis Grizzlies
825,Thu Feb 10 2022,7:30p,Miami Heat,112,New Orleans Pelicans,97,Smoothie King Center,15,Miami Heat Vs New Orleans Pelicans,Miami Heat
826,Thu Feb 10 2022,7:30p,Brooklyn Nets,112,Washington Wizards,113,Capital One Arena,1,Brooklyn Nets Vs Washington Wizards,Washington Wizards
827,Thu Feb 10 2022,8:00p,Toronto Raptors,139,Houston Rockets,120,Toyota Center,19,Toronto Raptors Vs Houston Rockets,Toronto Raptors
828,Thu Feb 10 2022,8:30p,Los Angeles Clippers,105,Dallas Mavericks,112,American Airlines Center,7,Los Angeles Clippers Vs Dallas Mavericks,Dallas Mavericks
829,Thu Feb 10 2022,10:00p,New York Knicks,116,Golden State Warriors,114,Chase Center,2,New York Knicks Vs Golden State Warriors,New York Knicks
830,Thu Feb 10 2022,10:00p,Milwaukee Bucks,107,Phoenix Suns,131,Phoenix Suns Arena,24,Milwaukee Bucks Vs Phoenix Suns,Phoenix Suns
831,Fri Feb 11 2022,7:00p,Charlotte Hornets,141,Detroit Pistons,119,Little Caesars Arena,22,Charlotte Hornets Vs Detroit Pistons,Charlotte Hornets
832,Fri Feb 11 2022,7:00p,Cleveland Cavaliers,120,Indiana Pacers,113,Gainbridge Fieldhouse,7,Cleveland Cavaliers Vs Indiana Pacers,Cleveland Cavaliers
833,Fri Feb 11 2022,7:00p,Oklahoma City Thunder,87,Philadelphia 76ers,100,Wells Fargo Center,13,Oklahoma City Thunder Vs Philadelphia 76ers,Philadelphia 76ers
834,Fri Feb 11 2022,7:30p,San Antonio Spurs,136,Atlanta Hawks,121,State Farm Arena,15,San Antonio Spurs Vs Atlanta Hawks,San Antonio Spurs
835,Fri Feb 11 2022,7:30p,Denver Nuggets,102,Boston Celtics,108,TD Garden,6,Denver Nuggets Vs Boston Celtics,Boston Celtics
836,Fri Feb 11 2022,8:00p,Minnesota Timberwolves,122,Chicago Bulls,134,United Center,12,Minnesota Timberwolves Vs Chicago Bulls,Chicago Bulls
837,Fri Feb 11 2022,9:00p,Orlando Magic,99,Utah Jazz,114,Vivint Smart Home Arena,15,Orlando Magic Vs Utah Jazz,Utah Jazz
838,Sat Feb 12 2022,5:00p,New York Knicks,103,Portland Trail Blazers,112,Moda Center,9,New York Knicks Vs Portland Trail Blazers,Portland Trail Blazers
839,Sat Feb 12 2022,7:00p,Memphis Grizzlies,125,Charlotte Hornets,118,Spectrum Center,7,Memphis Grizzlies Vs Charlotte Hornets,Memphis Grizzlies
840,Sat Feb 12 2022,7:00p,San Antonio Spurs,124,New Orleans Pelicans,114,Smoothie King Center,10,San Antonio Spurs Vs New Orleans Pelicans,San Antonio Spurs
