,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Arena,Point Difference,Team v. Team,Winner
884,Thu Feb 24 2022,7:30p,Boston Celtics,129,Brooklyn Nets,106,Barclays Center,23,Boston Celtics Vs Brooklyn Nets,Boston Celtics
885,Thu Feb 24 2022,8:00p,Atlanta Hawks,108,Chicago Bulls,112,United Center,4,Atlanta Hawks Vs Chicago Bulls,Chicago Bulls
886,Thu Feb 24 2022,8:00p,Memphis Grizzlies,114,Minnesota Timberwolves,119,Target Center,5,Memphis Grizzlies Vs Minnesota Timberwolves,Minnesota Timberwolves
887,Thu Feb 24 2022,8:00p,Phoenix Suns,124,Oklahoma City Thunder,104,Paycom Center,20,Phoenix Suns Vs Oklahoma City Thunder,Phoenix Suns
888,Thu Feb 24 2022,10:00p,Golden State Warriors,132,Portland Trail Blazers,95,Moda Center,37,Golden State Warriors Vs Portland Trail Blazers,Golden State Warriors
889,Thu Feb 24 2022,10:00p,Denver Nuggets,128,Sacramento Kings,110,Golden 1 Center,18,Denver Nuggets Vs Sacramento Kings,Denver Nuggets
890,Fri Feb 25 2022,7:00p,Toronto Raptors,93,Charlotte Hornets,125,Spectrum Center,32,Toronto Raptors Vs Charlotte Hornets,Charlotte Hornets
891,Fri Feb 25 2022,7:00p,Oklahoma City Thunder,129,Indiana Pacers,125,Gainbridge Fieldhouse,4,Oklahoma City Thunder Vs Indiana Pacers,Oklahoma City Thunder
892,Fri Feb 25 2022,7:00p,Houston Rockets,111,Orlando Magic,119,Amway Center,8,Houston Rockets Vs Orlando Magic,Orlando Magic
893,Fri Feb 25 2022,7:00p,San Antonio Spurs,157,Washington Wizards,153,Capital One Arena,4,San Antonio Spurs Vs Washington Wizards,San Antonio Spurs
894,Fri Feb 25 2022,7:30p,Miami Heat,115,New York Knicks,100,Madison Square Garden (IV),15,Miami Heat Vs New York Knicks,Miami Heat
895,Fri Feb 25 2022,8:00p,Philadelphia 76ers,133,Minnesota Timberwolves,102,Target Center,31,Philadelphia 76ers Vs Minnesota Timberwolves,Philadelphia 76ers
896,Fri Feb 25 2022,9:00p,New Orleans Pelicans,117,Phoenix Suns,102,Phoenix Suns Arena,15,New Orleans Pelicans Vs Phoenix Suns,New Orleans Pelicans
897,Fri Feb 25 2022,9:00p,Dallas Mavericks,109,Utah Jazz,114,Vivint Smart Home Arena,5,Dallas Mavericks Vs Utah Jazz,Utah Jazz
898,Fri Feb 25 2022,10:00p,Los Angeles Clippers,105,Los Angeles Lakers,102,Crypto.com Arena,3,Los Angeles Clippers Vs Los Angeles Lakers,Los Angeles Clippers
899,Sat Feb 26 2022,12:00p,Boston Celtics,113,Detroit Pistons,104,Little Caesars Arena,9,Boston Celtics Vs Detroit Pistons,Boston Celtics
900,Sat Feb 26 2022,7:30p,Toronto Raptors,100,Atlanta Hawks,127,State Farm Arena,27,Toronto Raptors Vs Atlanta Hawks,Atlanta Hawks
901,Sat Feb 26 2022,8:00p,Memphis Grizzlies,116,Chicago Bulls,110,United Center,6,Memphis Grizzlies Vs Chicago Bulls,Memphis Grizzlies
902,Sat Feb 26 2022,8:00p,Washington Wizards,86,Cleveland Cavaliers,92,Rocket Mortgage Fieldhouse,6,Washington Wizards Vs Cleveland Cavaliers,Cleveland Cavaliers
903,Sat Feb 26 2022,8:00p,San Antonio Spurs,129,Miami Heat,133,FTX Arena,4,San Antonio Spurs Vs Miami Heat,Miami Heat
904,Sat Feb 26 2022,8:30p,Brooklyn Nets,126,Milwaukee Bucks,123,Fiserv Forum,3,Brooklyn Nets Vs Milwaukee Bucks,Brooklyn Nets
905,Sat Feb 26 2022,9:00p,Sacramento Kings,110,Denver Nuggets,115,Ball Arena,5,Sacramento Kings Vs Denver Nuggets,Denver Nuggets
906,Sun Feb 27 2022,1:00p,Philadelphia 76ers,125,New York Knicks,109,Madison Square Garden (IV),16,Philadelphia 76ers Vs New York Knicks,Philadelphia 76ers
907,Sun Feb 27 2022,3:30p,Utah Jazz,118,Phoenix Suns,114,Phoenix Suns Arena,4,Utah Jazz Vs Phoenix Suns,Utah Jazz
908,Sun Feb 27 2022,5:00p,Boston Celtics,107,Indiana Pacers,128,Gainbridge Fieldhouse,21,Boston Celtics Vs Indiana Pacers,Indiana Pacers
909,Sun Feb 27 2022,7:00p,Detroit Pistons,127,Charlotte Hornets,126,Spectrum Center,1,Detroit Pistons Vs Charlotte Hornets,Detroit Pistons
910,Sun Feb 27 2022,7:00p,Los Angeles Clippers,99,Houston Rockets,98,Toyota Center,1,Los Angeles Clippers Vs Houston Rockets,Los Angeles Clippers
911,Sun Feb 27 2022,7:30p,Dallas Mavericks,107,Golden State Warriors,101,Chase Center,6,Dallas Mavericks Vs Golden State Warriors,Dallas Mavericks
912,Sun Feb 27 2022,9:00p,Denver Nuggets,124,Portland Trail Blazers,92,Moda Center,32,Denver Nuggets Vs Portland Trail Blazers,Denver Nuggets
913,Sun Feb 27 2022,10:00p,New Orleans Pelicans,123,Los Angeles Lakers,95,Crypto.com Arena,28,New Orleans Pelicans Vs Los Angeles Lakers,New Orleans Pelicans
914,Mon Feb 28 2022,7:00p,Minnesota Timberwolves,127,Cleveland Cavaliers,122,Rocket Mortgage Fieldhouse,5,Minnesota Timberwolves Vs Cleveland Cavaliers,Minnesota Timberwolves
915,Mon Feb 28 2022,7:00p,Indiana Pacers,103,Orlando Magic,119,Amway Center,16,Indiana Pacers Vs Orlando Magic,Orlando Magic
916,Mon Feb 28 2022,7:30p,Toronto Raptors,133,Brooklyn Nets,97,Barclays Center,36,Toronto Raptors Vs Brooklyn Nets,Toronto Raptors
917,Mon Feb 28 2022,7:30p,Chicago Bulls,99,Miami Heat,112,FTX Arena,13,Chicago Bulls Vs Miami Heat,Miami Heat
918,Mon Feb 28 2022,8:00p,San Antonio Spurs,105,Memphis Grizzlies,118,FedEx Forum,13,San Antonio Spurs Vs Memphis Grizzlies,Memphis Grizzlies
919,Mon Feb 28 2022,8:00p,Charlotte Hornets,106,Milwaukee Bucks,130,Fiserv Forum,24,Charlotte Hornets Vs Milwaukee Bucks,Milwaukee Bucks
920,Mon Feb 28 2022,8:00p,Sacramento Kings,131,Oklahoma City Thunder,110,Paycom Center,21,Sacramento Kings Vs Oklahoma City Thunder,Sacramento Kings
921,Tue Mar 1 2022,7:00p,Detroit Pistons,113,Washington Wizards,116,Capital One Arena,3,Detroit Pistons Vs Washington Wizards,Washington Wizards
922,Tue Mar 1 2022,7:30p,Atlanta Hawks,98,Boston Celtics,107,TD Garden,9,Atlanta Hawks Vs Boston Celtics,Boston Celtics
923,Tue Mar 1 2022,7:30p,Brooklyn Nets,108,Toronto Raptors,109,Scotiabank Arena,1,Brooklyn Nets Vs Toronto Raptors,Toronto Raptors
924,Tue Mar 1 2022,8:00p,Los Angeles Clippers,113,Houston Rockets,100,Toyota Center,13,Los Angeles Clippers Vs Houston Rockets,Los Angeles Clippers
925,Tue Mar 1 2022,8:00p,Golden State Warriors,114,Minnesota Timberwolves,129,Target Center,15,Golden State Warriors Vs Minnesota Timberwolves,Minnesota Timberwolves
926,Tue Mar 1 2022,10:00p,Dallas Mavericks,109,Los Angeles Lakers,104,Crypto.com Arena,5,Dallas Mavericks Vs Los Angeles Lakers,Dallas Mavericks
927,Wed Mar 2 2022,7:00p,Charlotte Hornets,119,Cleveland Cavaliers,98,Rocket Mortgage Fieldhouse,21,Charlotte Hornets Vs Cleveland Cavaliers,Charlotte Hornets
928,Wed Mar 2 2022,7:00p,Indiana Pacers,122,Orlando Magic,114,Amway Center,8,Indiana Pacers Vs Orlando Magic,Indiana Pacers
929,Wed Mar 2 2022,7:30p,New York Knicks,108,Philadelphia 76ers,123,Wells Fargo Center,15,New York Knicks Vs Philadelphia 76ers,Philadelphia 76ers
930,Wed Mar 2 2022,8:00p,Utah Jazz,132,Houston Rockets,127,Toyota Center,5,Utah Jazz Vs Houston Rockets,Utah Jazz
931,Wed Mar 2 2022,8:00p,Miami Heat,119,Milwaukee Bucks,120,Fiserv Forum,1,Miami Heat Vs Milwaukee Bucks,Milwaukee Bucks
932,Wed Mar 2 2022,8:00p,Sacramento Kings,95,New Orleans Pelicans,125,Smoothie King Center,30,Sacramento Kings Vs New Orleans Pelicans,New Orleans Pelicans
933,Wed Mar 2 2022,9:00p,Oklahoma City Thunder,119,Denver Nuggets,107,Ball Arena,12,Oklahoma City Thunder Vs Denver Nuggets,Oklahoma City Thunder
934,Wed Mar 2 2022,10:00p,Portland Trail Blazers,90,Phoenix Suns,120,Phoenix Suns Arena,30,Portland Trail Blazers Vs Phoenix Suns,Phoenix Suns
935,Thu Mar 3 2022,7:00p,Chicago Bulls,124,Atlanta Hawks,130,State Farm Arena,6,Chicago Bulls Vs Atlanta Hawks,Atlanta Hawks
936,Thu Mar 3 2022,7:30p,Memphis Grizzlies,107,Boston Celtics,120,TD Garden,13,Memphis Grizzlies Vs Boston Celtics,Boston Celtics
937,Thu Mar 3 2022,7:30p,Miami Heat,113,Brooklyn Nets,107,Barclays Center,6,Miami Heat Vs Brooklyn Nets,Miami Heat
938,Thu Mar 3 2022,7:30p,Detroit Pistons,108,Toronto Raptors,106,Scotiabank Arena,2,Detroit Pistons Vs Toronto Raptors,Detroit Pistons
939,Thu Mar 3 2022,8:30p,Golden State Warriors,113,Dallas Mavericks,122,American Airlines Center,9,Golden State Warriors Vs Dallas Mavericks,Dallas Mavericks
940,Thu Mar 3 2022,8:30p,Sacramento Kings,115,San Antonio Spurs,112,AT&T Center,3,Sacramento Kings Vs San Antonio Spurs,Sacramento Kings
941,Thu Mar 3 2022,10:00p,Los Angeles Lakers,111,Los Angeles Clippers,132,Crypto.com Arena,21,Los Angeles Lakers Vs Los Angeles Clippers,Los Angeles Clippers
942,Fri Mar 4 2022,7:00p,Indiana Pacers,106,Detroit Pistons,111,Little Caesars Arena,5,Indiana Pacers Vs Detroit Pistons,Detroit Pistons
943,Fri Mar 4 2022,7:00p,Cleveland Cavaliers,119,Philadelphia 76ers,125,Wells Fargo Center,6,Cleveland Cavaliers Vs Philadelphia 76ers,Philadelphia 76ers
944,Fri Mar 4 2022,7:00p,Atlanta Hawks,117,Washington Wizards,114,Capital One Arena,3,Atlanta Hawks Vs Washington Wizards,Atlanta Hawks
945,Fri Mar 4 2022,7:30p,Milwaukee Bucks,118,Chicago Bulls,112,United Center,6,Milwaukee Bucks Vs Chicago Bulls,Milwaukee Bucks
946,Fri Mar 4 2022,7:30p,Orlando Magic,103,Toronto Raptors,97,Scotiabank Arena,6,Orlando Magic Vs Toronto Raptors,Orlando Magic
947,Fri Mar 4 2022,8:00p,Utah Jazz,90,New Orleans Pelicans,124,Smoothie King Center,34,Utah Jazz Vs New Orleans Pelicans,New Orleans Pelicans
948,Fri Mar 4 2022,8:00p,Minnesota Timberwolves,138,Oklahoma City Thunder,101,Paycom Center,37,Minnesota Timberwolves Vs Oklahoma City Thunder,Minnesota Timberwolves
949,Fri Mar 4 2022,9:00p,Houston Rockets,101,Denver Nuggets,116,Ball Arena,15,Houston Rockets Vs Denver Nuggets,Denver Nuggets
950,Fri Mar 4 2022,10:00p,New York Knicks,114,Phoenix Suns,115,Phoenix Suns Arena,1,New York Knicks Vs Phoenix Suns,Phoenix Suns
951,Sat Mar 5 2022,5:00p,Sacramento Kings,113,Dallas Mavericks,114,American Airlines Center,1,Sacramento Kings Vs Dallas Mavericks,Dallas Mavericks
952,Sat Mar 5 2022,7:00p,San Antonio Spurs,117,Charlotte Hornets,123,Spectrum Center,6,San Antonio Spurs Vs Charlotte Hornets,Charlotte Hornets
953,Sat Mar 5 2022,8:00p,Orlando Magic,96,Memphis Grizzlies,124,FedEx Forum,28,Orlando Magic Vs Memphis Grizzlies,Memphis Grizzlies
954,Sat Mar 5 2022,8:00p,Philadelphia 76ers,82,Miami Heat,99,FTX Arena,17,Philadelphia 76ers Vs Miami Heat,Miami Heat
955,Sat Mar 5 2022,8:00p,Portland Trail Blazers,121,Minnesota Timberwolves,135,Target Center,14,Portland Trail Blazers Vs Minnesota Timberwolves,Minnesota Timberwolves
956,Sat Mar 5 2022,8:30p,Golden State Warriors,116,Los Angeles Lakers,124,Crypto.com Arena,8,Golden State Warriors Vs Los Angeles Lakers,Los Angeles Lakers
957,Sun Mar 6 2022,1:00p,Brooklyn Nets,120,Boston Celtics,126,TD Garden,6,Brooklyn Nets Vs Boston Celtics,Boston Celtics
958,Sun Mar 6 2022,3:30p,Phoenix Suns,122,Milwaukee Bucks,132,Fiserv Forum,10,Phoenix Suns Vs Milwaukee Bucks,Milwaukee Bucks
959,Sun Mar 6 2022,6:00p,Indiana Pacers,123,Washington Wizards,133,Capital One Arena,10,Indiana Pacers Vs Washington Wizards,Washington Wizards
960,Sun Mar 6 2022,7:00p,Memphis Grizzlies,112,Houston Rockets,123,Toyota Center,11,Memphis Grizzlies Vs Houston Rockets,Houston Rockets
961,Sun Mar 6 2022,7:00p,Utah Jazz,116,Oklahoma City Thunder,103,Paycom Center,13,Utah Jazz Vs Oklahoma City Thunder,Utah Jazz
962,Sun Mar 6 2022,7:30p,Toronto Raptors,96,Cleveland Cavaliers,104,Rocket Mortgage Fieldhouse,8,Toronto Raptors Vs Cleveland Cavaliers,Cleveland Cavaliers
963,Sun Mar 6 2022,8:00p,New Orleans Pelicans,130,Denver Nuggets,138,Ball Arena,8,New Orleans Pelicans Vs Denver Nuggets,Denver Nuggets
964,Sun Mar 6 2022,10:00p,New York Knicks,116,Los Angeles Clippers,93,Crypto.com Arena,23,New York Knicks Vs Los Angeles Clippers,New York Knicks
965,Mon Mar 7 2022,7:00p,Atlanta Hawks,110,Detroit Pistons,113,Little Caesars Arena,3,Atlanta Hawks Vs Detroit Pistons,Detroit Pistons
966,Mon Mar 7 2022,7:00p,Chicago Bulls,106,Philadelphia 76ers,121,Wells Fargo Center,15,Chicago Bulls Vs Philadelphia 76ers,Philadelphia 76ers
967,Mon Mar 7 2022,7:30p,Houston Rockets,106,Miami Heat,123,FTX Arena,17,Houston Rockets Vs Miami Heat,Miami Heat
968,Mon Mar 7 2022,8:00p,Portland Trail Blazers,81,Minnesota Timberwolves,124,Target Center,43,Portland Trail Blazers Vs Minnesota Timberwolves,Minnesota Timberwolves
969,Mon Mar 7 2022,8:30p,Utah Jazz,103,Dallas Mavericks,111,American Airlines Center,8,Utah Jazz Vs Dallas Mavericks,Dallas Mavericks
970,Mon Mar 7 2022,8:30p,Los Angeles Lakers,110,San Antonio Spurs,117,AT&T Center,7,Los Angeles Lakers Vs San Antonio Spurs,San Antonio Spurs
971,Mon Mar 7 2022,9:00p,Golden State Warriors,124,Denver Nuggets,131,Ball Arena,7,Golden State Warriors Vs Denver Nuggets,Denver Nuggets
972,Mon Mar 7 2022,10:30p,New York Knicks,131,Sacramento Kings,115,Golden 1 Center,16,New York Knicks Vs Sacramento Kings,New York Knicks
973,Tue Mar 8 2022,7:00p,Brooklyn Nets,132,Charlotte Hornets,121,Spectrum Center,11,Brooklyn Nets Vs Charlotte Hornets,Brooklyn Nets
974,Tue Mar 8 2022,7:00p,Cleveland Cavaliers,127,Indiana Pacers,124,Gainbridge Fieldhouse,3,Cleveland Cavaliers Vs Indiana Pacers,Cleveland Cavaliers
975,Tue Mar 8 2022,7:00p,Phoenix Suns,102,Orlando Magic,99,Amway Center,3,Phoenix Suns Vs Orlando Magic,Phoenix Suns
976,Tue Mar 8 2022,7:30p,New Orleans Pelicans,111,Memphis Grizzlies,132,FedEx Forum,21,New Orleans Pelicans Vs Memphis Grizzlies,Memphis Grizzlies
977,Tue Mar 8 2022,8:00p,Milwaukee Bucks,142,Oklahoma City Thunder,115,Paycom Center,27,Milwaukee Bucks Vs Oklahoma City Thunder,Milwaukee Bucks
978,Tue Mar 8 2022,10:00p,Los Angeles Clippers,97,Golden State Warriors,112,Chase Center,15,Los Angeles Clippers Vs Golden State Warriors,Golden State Warriors
979,Wed Mar 9 2022,7:00p,Boston Celtics,115,Charlotte Hornets,101,Spectrum Center,14,Boston Celtics Vs Charlotte Hornets,Boston Celtics
980,Wed Mar 9 2022,7:00p,Chicago Bulls,114,Detroit Pistons,108,Little Caesars Arena,6,Chicago Bulls Vs Detroit Pistons,Chicago Bulls
981,Wed Mar 9 2022,7:30p,Phoenix Suns,111,Miami Heat,90,FTX Arena,21,Phoenix Suns Vs Miami Heat,Phoenix Suns
982,Wed Mar 9 2022,8:00p,Los Angeles Lakers,130,Houston Rockets,139,Toyota Center,9,Los Angeles Lakers Vs Houston Rockets,Houston Rockets
983,Wed Mar 9 2022,8:00p,Atlanta Hawks,115,Milwaukee Bucks,124,Fiserv Forum,9,Atlanta Hawks Vs Milwaukee Bucks,Milwaukee Bucks
984,Wed Mar 9 2022,8:00p,Oklahoma City Thunder,102,Minnesota Timberwolves,132,Target Center,30,Oklahoma City Thunder Vs Minnesota Timberwolves,Minnesota Timberwolves
985,Wed Mar 9 2022,8:00p,Orlando Magic,108,New Orleans Pelicans,102,Smoothie King Center,6,Orlando Magic Vs New Orleans Pelicans,Orlando Magic
986,Wed Mar 9 2022,8:30p,New York Knicks,107,Dallas Mavericks,77,American Airlines Center,30,New York Knicks Vs Dallas Mavericks,New York Knicks
987,Wed Mar 9 2022,8:30p,Toronto Raptors,119,San Antonio Spurs,104,AT&T Center,15,Toronto Raptors Vs San Antonio Spurs,Toronto Raptors
988,Wed Mar 9 2022,10:00p,Denver Nuggets,106,Sacramento Kings,100,Golden 1 Center,6,Denver Nuggets Vs Sacramento Kings,Denver Nuggets
989,Wed Mar 9 2022,10:00p,Portland Trail Blazers,85,Utah Jazz,123,Vivint Smart Home Arena,38,Portland Trail Blazers Vs Utah Jazz,Utah Jazz
990,Wed Mar 9 2022,10:30p,Washington Wizards,109,Los Angeles Clippers,115,Crypto.com Arena,6,Washington Wizards Vs Los Angeles Clippers,Los Angeles Clippers
991,Thu Mar 10 2022,7:30p,Brooklyn Nets,129,Philadelphia 76ers,100,Wells Fargo Center,29,Brooklyn Nets Vs Philadelphia 76ers,Brooklyn Nets
992,Thu Mar 10 2022,10:00p,Golden State Warriors,113,Denver Nuggets,102,Ball Arena,11,Golden State Warriors Vs Denver Nuggets,Golden State Warriors
993,Fri Mar 11 2022,7:00p,Minnesota Timberwolves,110,Orlando Magic,118,Amway Center,8,Minnesota Timberwolves Vs Orlando Magic,Orlando Magic
994,Fri Mar 11 2022,7:30p,Los Angeles Clippers,106,Atlanta Hawks,112,State Farm Arena,6,Los Angeles Clippers Vs Atlanta Hawks,Atlanta Hawks
995,Fri Mar 11 2022,7:30p,Detroit Pistons,103,Boston Celtics,114,TD Garden,11,Detroit Pistons Vs Boston Celtics,Boston Celtics
996,Fri Mar 11 2022,8:00p,Dallas Mavericks,113,Houston Rockets,100,Toyota Center,13,Dallas Mavericks Vs Houston Rockets,Dallas Mavericks
997,Fri Mar 11 2022,8:00p,New York Knicks,114,Memphis Grizzlies,118,FedEx Forum,4,New York Knicks Vs Memphis Grizzlies,Memphis Grizzlies
998,Fri Mar 11 2022,8:00p,Cleveland Cavaliers,105,Miami Heat,117,FTX Arena,12,Cleveland Cavaliers Vs Miami Heat,Miami Heat
999,Fri Mar 11 2022,8:00p,Charlotte Hornets,142,New Orleans Pelicans,120,Smoothie King Center,22,Charlotte Hornets Vs New Orleans Pelicans,Charlotte Hornets
1000,Fri Mar 11 2022,8:30p,Utah Jazz,102,San Antonio Spurs,104,AT&T Center,2,Utah Jazz Vs San Antonio Spurs,San Antonio Spurs
1001,Fri Mar 11 2022,9:00p,Toronto Raptors,117,Phoenix Suns,112,Phoenix Suns Arena,5,Toronto Raptors Vs Phoenix Suns,Toronto Raptors
1002,Fri Mar 11 2022,10:30p,Washington Wizards,109,Los Angeles Lakers,122,Crypto.com Arena,13,Washington Wizards Vs Los Angeles Lakers,Los Angeles Lakers
1003,Sat Mar 12 2022,8:00p,Cleveland Cavaliers,91,Chicago Bulls,101,United Center,10,Cleveland Cavaliers Vs Chicago Bulls,Chicago Bulls
1004,Sat Mar 12 2022,8:00p,Minnesota Timberwolves,113,Miami Heat,104,FTX Arena,9,Minnesota Timberwolves Vs Miami Heat,Minnesota Timberwolves
1005,Sat Mar 12 2022,8:00p,Indiana Pacers,119,San Antonio Spurs,108,AT&T Center,11,Indiana Pacers Vs San Antonio Spurs,Indiana Pacers
1006,Sat Mar 12 2022,8:30p,Milwaukee Bucks,109,Golden State Warriors,122,Chase Center,13,Milwaukee Bucks Vs Golden State Warriors,Golden State Warriors
1007,Sat Mar 12 2022,9:00p,Toronto Raptors,127,Denver Nuggets,115,Ball Arena,12,Toronto Raptors Vs Denver Nuggets,Toronto Raptors
1008,Sat Mar 12 2022,9:00p,Sacramento Kings,125,Utah Jazz,134,Vivint Smart Home Arena,9,Sacramento Kings Vs Utah Jazz,Utah Jazz
1009,Sat Mar 12 2022,10:00p,Washington Wizards,118,Portland Trail Blazers,127,Moda Center,9,Washington Wizards Vs Portland Trail Blazers,Portland Trail Blazers
1010,Sun Mar 13 2022,1:00p,New York Knicks,107,Brooklyn Nets,110,Barclays Center,3,New York Knicks Vs Brooklyn Nets,Brooklyn Nets
1011,Sun Mar 13 2022,3:00p,Los Angeles Clippers,106,Detroit Pistons,102,Little Caesars Arena,4,Los Angeles Clippers Vs Detroit Pistons,Los Angeles Clippers
1012,Sun Mar 13 2022,3:30p,Dallas Mavericks,95,Boston Celtics,92,TD Garden,3,Dallas Mavericks Vs Boston Celtics,Dallas Mavericks
1013,Sun Mar 13 2022,6:00p,Philadelphia 76ers,116,Orlando Magic,114,Amway Center,2,Philadelphia 76ers Vs Orlando Magic,Philadelphia 76ers
1014,Sun Mar 13 2022,7:00p,Indiana Pacers,128,Atlanta Hawks,131,State Farm Arena,3,Indiana Pacers Vs Atlanta Hawks,Atlanta Hawks
1015,Sun Mar 13 2022,7:00p,Houston Rockets,105,New Orleans Pelicans,130,Smoothie King Center,25,Houston Rockets Vs New Orleans Pelicans,New Orleans Pelicans
1016,Sun Mar 13 2022,7:00p,Memphis Grizzlies,125,Oklahoma City Thunder,118,Paycom Center,7,Memphis Grizzlies Vs Oklahoma City Thunder,Memphis Grizzlies
1017,Sun Mar 13 2022,9:00p,Los Angeles Lakers,111,Phoenix Suns,140,Phoenix Suns Arena,29,Los Angeles Lakers Vs Phoenix Suns,Phoenix Suns
1018,Mon Mar 14 2022,7:00p,Los Angeles Clippers,111,Cleveland Cavaliers,120,Rocket Mortgage Fieldhouse,9,Los Angeles Clippers Vs Cleveland Cavaliers,Cleveland Cavaliers
1019,Mon Mar 14 2022,7:30p,Portland Trail Blazers,113,Atlanta Hawks,122,State Farm Arena,9,Portland Trail Blazers Vs Atlanta Hawks,Atlanta Hawks
1020,Mon Mar 14 2022,7:30p,Denver Nuggets,114,Philadelphia 76ers,110,Wells Fargo Center,4,Denver Nuggets Vs Philadelphia 76ers,Denver Nuggets
1021,Mon Mar 14 2022,8:00p,Charlotte Hornets,134,Oklahoma City Thunder,116,Paycom Center,18,Charlotte Hornets Vs Oklahoma City Thunder,Charlotte Hornets
1022,Mon Mar 14 2022,8:30p,Minnesota Timberwolves,149,San Antonio Spurs,139,AT&T Center,10,Minnesota Timberwolves Vs San Antonio Spurs,Minnesota Timberwolves
1023,Mon Mar 14 2022,10:00p,Washington Wizards,112,Golden State Warriors,126,Chase Center,14,Washington Wizards Vs Golden State Warriors,Golden State Warriors
1024,Mon Mar 14 2022,10:00p,Chicago Bulls,103,Sacramento Kings,112,Golden 1 Center,9,Chicago Bulls Vs Sacramento Kings,Sacramento Kings
1025,Mon Mar 14 2022,10:00p,Milwaukee Bucks,117,Utah Jazz,111,Vivint Smart Home Arena,6,Milwaukee Bucks Vs Utah Jazz,Milwaukee Bucks
1026,Mon Mar 14 2022,10:30p,Toronto Raptors,114,Los Angeles Lakers,103,Crypto.com Arena,11,Toronto Raptors Vs Los Angeles Lakers,Toronto Raptors
1027,Tue Mar 15 2022,7:00p,Memphis Grizzlies,135,Indiana Pacers,102,Gainbridge Fieldhouse,33,Memphis Grizzlies Vs Indiana Pacers,Memphis Grizzlies
1028,Tue Mar 15 2022,7:00p,Brooklyn Nets,150,Orlando Magic,108,Amway Center,42,Brooklyn Nets Vs Orlando Magic,Brooklyn Nets
1029,Tue Mar 15 2022,7:30p,Detroit Pistons,98,Miami Heat,105,FTX Arena,7,Detroit Pistons Vs Miami Heat,Miami Heat
1030,Tue Mar 15 2022,8:00p,Phoenix Suns,131,New Orleans Pelicans,115,Smoothie King Center,16,Phoenix Suns Vs New Orleans Pelicans,Phoenix Suns
1031,Wed Mar 16 2022,7:00p,Atlanta Hawks,106,Charlotte Hornets,116,Spectrum Center,10,Atlanta Hawks Vs Charlotte Hornets,Charlotte Hornets
1032,Wed Mar 16 2022,7:00p,Philadelphia 76ers,118,Cleveland Cavaliers,114,Rocket Mortgage Fieldhouse,4,Philadelphia 76ers Vs Cleveland Cavaliers,Philadelphia 76ers
1033,Wed Mar 16 2022,7:00p,Denver Nuggets,127,Washington Wizards,109,Capital One Arena,18,Denver Nuggets Vs Washington Wizards,Denver Nuggets
1034,Wed Mar 16 2022,7:30p,Dallas Mavericks,113,Brooklyn Nets,111,Barclays Center,2,Dallas Mavericks Vs Brooklyn Nets,Dallas Mavericks
1035,Wed Mar 16 2022,7:30p,Portland Trail Blazers,98,New York Knicks,128,Madison Square Garden (IV),30,Portland Trail Blazers Vs New York Knicks,New York Knicks
1036,Wed Mar 16 2022,8:00p,Phoenix Suns,129,Houston Rockets,112,Toyota Center,17,Phoenix Suns Vs Houston Rockets,Phoenix Suns
1037,Wed Mar 16 2022,8:00p,Los Angeles Lakers,104,Minnesota Timberwolves,124,Target Center,20,Los Angeles Lakers Vs Minnesota Timberwolves,Minnesota Timberwolves
1038,Wed Mar 16 2022,8:30p,Oklahoma City Thunder,120,San Antonio Spurs,122,AT&T Center,2,Oklahoma City Thunder Vs San Antonio Spurs,San Antonio Spurs
1039,Wed Mar 16 2022,9:00p,Chicago Bulls,110,Utah Jazz,125,Vivint Smart Home Arena,15,Chicago Bulls Vs Utah Jazz,Utah Jazz
1040,Wed Mar 16 2022,10:00p,Boston Celtics,110,Golden State Warriors,88,Chase Center,22,Boston Celtics Vs Golden State Warriors,Boston Celtics
1041,Wed Mar 16 2022,10:00p,Milwaukee Bucks,135,Sacramento Kings,126,Golden 1 Center,9,Milwaukee Bucks Vs Sacramento Kings,Milwaukee Bucks
1042,Wed Mar 16 2022,10:30p,Toronto Raptors,103,Los Angeles Clippers,100,Crypto.com Arena,3,Toronto Raptors Vs Los Angeles Clippers,Toronto Raptors
1043,Thu Mar 17 2022,7:00p,Detroit Pistons,134,Orlando Magic,120,Amway Center,14,Detroit Pistons Vs Orlando Magic,Detroit Pistons
1044,Fri Mar 18 2022,7:00p,Dallas Mavericks,101,Philadelphia 76ers,111,Wells Fargo Center,10,Dallas Mavericks Vs Philadelphia 76ers,Philadelphia 76ers
1045,Fri Mar 18 2022,7:30p,Memphis Grizzlies,105,Atlanta Hawks,120,State Farm Arena,15,Memphis Grizzlies Vs Atlanta Hawks,Atlanta Hawks
1046,Fri Mar 18 2022,7:30p,Portland Trail Blazers,123,Brooklyn Nets,128,Barclays Center,5,Portland Trail Blazers Vs Brooklyn Nets,Brooklyn Nets
1047,Fri Mar 18 2022,7:30p,Denver Nuggets,116,Cleveland Cavaliers,119,Rocket Mortgage Fieldhouse,3,Denver Nuggets Vs Cleveland Cavaliers,Cleveland Cavaliers
1048,Fri Mar 18 2022,7:30p,Washington Wizards,97,New York Knicks,100,Madison Square Garden (IV),3,Washington Wizards Vs New York Knicks,New York Knicks
