Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P_FGA%,0-3ft_FGA%,3-10_FGA%,10-16ft_FGA%,16-3Pft_FGA%,3P_FGA%,,2P_FG%,0-3_FG%,3-10_FG%,10-16_FG%,16-3P_FG%,3P_FG%,,2P_FG_AST%,3P_FG_AST%,,%FGA_DUNK,#_DUNK,,%3PA,3P%,,Att._Heave,#_Heave
27,Desmond Bane\banede01,SF,23,MEM,54,1624,.463,16.8,,.523,.161,.138,.124,.099,.477,,.506,.648,.411,.510,.403,.415,,.600,.850,,.005,4,,.201,.405,,1,0
28,Dalano Banton\bantoda01,SF,22,TOR,45,535,.415,11.1,,.736,.346,.208,.113,.069,.264,,.470,.582,.424,.278,.364,.262,,.327,.818,,.025,4,,.262,.273,,1,1
29,Cat Barber\barbeca01,PG,27,ATL,3,13,.000,9.6,,1.000,.500,.000,.000,.500,.000,,.000,.000,,,.000,,,,,,.000,0,,,,,0,0
30,Harrison Barnes\barneha02,PF,29,SAC,53,1788,.467,13.5,,.566,.227,.296,.037,.007,.434,,.510,.659,.403,.455,.500,.411,,.541,.943,,.034,17,,.337,.506,,0,0
31,Scottie Barnes\barnesc01,PF,20,TOR,47,1684,.475,11.2,,.781,.245,.322,.122,.092,.219,,.519,.660,.497,.371,.415,.317,,.433,.850,,.070,33,,.302,.368,,2,1
32,RJ Barrett\barrerj01,SF,21,NYK,48,1587,.412,12.6,,.635,.279,.248,.066,.043,.365,,.445,.628,.288,.347,.313,.354,,.400,.927,,.044,26,,.280,.303,,1,0
33,Will Barton\bartowi01,SG,31,DEN,49,1595,.445,15.8,,.533,.185,.195,.071,.082,.467,,.504,.733,.389,.435,.321,.377,,.500,.719,,.025,16,,.185,.500,,1,0
34,Paris Bass\basspa01,SF,26,PHO,2,7,.333,11.7,,.667,.333,.333,.000,.000,.333,,.500,1.000,.000,,,.000,,.500,,,.167,1,,.000,,,0,0
35,Charles Bassey\bassech01,PF,21,PHI,22,161,.651,5.2,,.907,.605,.209,.093,.000,.093,,.718,.731,.778,.500,,.000,,.679,,,.326,12,,.250,.000,,0,0
36,Keita Bates-Diop\bateske01,SF,26,SAS,43,708,.500,8.6,,.774,.505,.194,.016,.059,.226,,.549,.649,.389,.667,.182,.333,,.747,1.000,,.065,12,,.452,.421,,0,0
37,Nicolas Batum\batumni01,PF,33,LAC,37,918,.485,20.4,,.276,.121,.042,.046,.067,.724,,.697,.862,.600,.727,.438,.405,,.848,.971,,.050,10,,.318,.436,,0,0
38,Kent Bazemore\bazemke01,SF,32,LAL,31,455,.328,17.7,,.454,.176,.101,.067,.109,.546,,.296,.381,.333,.125,.231,.354,,.813,.913,,.017,1,,.508,.424,,2,0
39,Darius Bazley\bazleda01,PF,21,OKC,51,1377,.400,12.3,,.604,.321,.251,.011,.022,.396,,.469,.548,.386,.600,.200,.294,,.620,.943,,.152,55,,.256,.348,,1,0
40,Bradley Beal\bealbr01,SG,28,WAS,40,1439,.451,13.1,,.728,.197,.252,.171,.108,.272,,.508,.697,.407,.470,.458,.300,,.365,.603,,.017,13,,.238,.380,,0,0
