Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P_FGA%,0-3ft_FGA%,3-10_FGA%,10-16ft_FGA%,16-3Pft_FGA%,3P_FGA%,,2P_FG%,0-3_FG%,3-10_FG%,10-16_FG%,16-3P_FG%,3P_FG%,,2P_FG_AST%,3P_FG_AST%,,%FGA_DUNK,#_DUNK,,%3PA,3P%,,Att._Heave,#_Heave
119,Jae Crowder\crowdja01,PF,31,PHO,46,1301,.396,20.6,,.327,.064,.102,.072,.089,.673,,.517,.739,.459,.462,.469,.337,,.836,.963,,.006,2,,.218,.415,,1,0
120,Jarrett Culver\culveja01,SG,22,MEM,26,237,.424,12.7,,.663,.315,.174,.076,.098,.337,,.475,.517,.500,.286,.444,.323,,.345,.800,,.054,3,,.226,.286,,0,0
121,Jarron Cumberland\cumbeja01,SG,24,POR,3,12,.500,15.8,,.500,.500,.000,.000,.000,.500,,1.000,1.000,,,,.000,,1.000,,,.000,0,,.000,,,0,0
122,Cade Cunningham\cunnica01,PG,20,DET,42,1336,.397,15.0,,.586,.183,.227,.105,.071,.414,,.444,.557,.455,.348,.267,.330,,.226,.686,,.021,12,,.130,.353,,0,0
123,Seth Curry\curryse01,SG,31,PHI,45,1566,.485,19.1,,.527,.055,.110,.138,.223,.473,,.561,.690,.552,.548,.542,.400,,.481,.780,,.000,0,,.152,.500,,0,0
124,Stephen Curry\curryst01,PG,33,GSW,52,1808,.422,20.1,,.370,.119,.128,.060,.064,.630,,.500,.570,.496,.475,.400,.376,,.365,.574,,.000,0,,.095,.344,,5,0
125,Anthony Davis\davisan02,C,28,LAL,36,1281,.534,9.6,,.896,.388,.182,.149,.177,.104,,.576,.786,.474,.323,.432,.169,,.632,.909,,.179,100,,.077,.200,,0,0
126,Ed Davis\davised01,C,32,CLE,19,142,.643,2.5,,1.000,.714,.286,.000,.000,.000,,.643,.700,.500,,,,,.778,,,.143,2,,,,,0,0
127,Terence Davis\daviste02,SG,24,SAC,30,536,.423,16.3,,.442,.221,.157,.034,.030,.558,,.542,.712,.357,.333,.500,.329,,.563,.796,,.037,7,,.208,.355,,1,0
128,Gabriel Deck\deckga01,PF,26,OKC,7,56,.571,11.9,,.714,.357,.071,.214,.071,.286,,.600,.600,1.000,.667,.000,.500,,.667,1.000,,.000,0,,.500,1.000,,0,0
129,Dewayne Dedmon\dedmode01,C,32,MIA,50,820,.580,7.5,,.862,.464,.286,.076,.036,.138,,.591,.712,.484,.412,.250,.516,,.711,.938,,.129,26,,.129,.250,,1,0
130,Sam Dekker\dekkesa01,PF,27,TOR,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
131,Javin DeLaurier\delauja01,C,23,MIL,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
132,DeMar DeRozan\derozde01,PF,32,CHI,53,1884,.512,12.9,,.906,.163,.168,.300,.275,.094,,.530,.676,.457,.543,.474,.337,,.218,.879,,.023,19,,.408,.350,,2,0
133,Mamadi Diakite\diakima01,PF,25,OKC,13,188,.532,6.8,,.894,.426,.340,.106,.021,.106,,.595,.600,.688,.400,.000,.000,,.840,,,.255,10,,.400,.000,,0,0
134,Cheick Diallo\diallch01,C,25,DET,3,31,.375,3.1,,1.000,.375,.625,.000,.000,.000,,.375,.667,.200,,,,,.333,,,.125,1,,,,,0,0
135,Hamidou Diallo\diallha01,SG,23,DET,49,1113,.500,9.6,,.819,.322,.313,.119,.066,.181,,.556,.705,.514,.370,.367,.244,,.522,.950,,.099,43,,.500,.293,,2,0
136,Gorgui Dieng\dienggo01,C,32,ATL,36,327,.479,18.6,,.447,.160,.074,.096,.117,.553,,.548,.733,.429,.556,.364,.423,,.826,.955,,.021,2,,.096,.400,,0,0
137,Spencer Dinwiddie\dinwisp01,PG,28,WAS,44,1330,.376,16.2,,.541,.152,.236,.091,.061,.459,,.432,.573,.388,.378,.333,.310,,.148,.500,,.006,1,,.142,.313,,1,0
138,Donte DiVincenzo\divindo01,SG,25,TOT,18,360,.323,18.2,,.362,.205,.110,.016,.031,.638,,.413,.538,.286,.500,.000,.272,,.579,.727,,.024,2,,.272,.273,,1,0
138,Donte DiVincenzo\divindo01,SG,25,MIL,17,341,.331,17.9,,.373,.212,.110,.017,.034,.627,,.409,.520,.308,.500,.000,.284,,.556,.714,,.025,2,,.284,.238,,1,0
138,Donte DiVincenzo\divindo01,SG,25,SAC,1,19,.222,21.8,,.222,.111,.111,.000,.000,.778,,.500,1.000,.000,,,.143,,1.000,1.000,,.000,0,,.143,1.000,,0,0
139,Luka Dončić\doncilu01,PG,22,DAL,42,1483,.452,15.3,,.618,.131,.244,.181,.062,.382,,.527,.729,.521,.460,.321,.329,,.123,.230,,.004,3,,.050,.294,,0,0
140,Luguentz Dort\dortlu01,SF,22,OKC,51,1665,.404,16.4,,.461,.197,.204,.029,.032,.539,,.487,.615,.419,.238,.348,.332,,.491,.877,,.037,24,,.143,.429,,1,0
141,Ayo Dosunmu\dosunay01,SG,22,CHI,52,1321,.527,12.6,,.626,.361,.115,.096,.054,.374,,.592,.690,.417,.433,.588,.419,,.586,.980,,.054,14,,.538,.429,,1,1
142,Damyean Dotson\dotsoda01,SG,27,NYK,2,21,.500,11.3,,.750,.250,.250,.250,.000,.250,,.667,1.000,.000,1.000,,.000,,.500,,,.000,0,,1.000,.000,,0,0
143,Devon Dotson\dotsode01,PG,22,CHI,11,85,.478,12.2,,.609,.478,.000,.130,.000,.391,,.643,.818,,.000,,.222,,.556,1.000,,.000,0,,.333,.000,,0,0
144,Sekou Doumbouya\doumbse01,PF,21,LAL,2,16,.625,8.9,,.750,.500,.250,.000,.000,.250,,.667,1.000,.000,,,.500,,.500,1.000,,.000,0,,.000,,,0,0
145,Jeff Dowtin\dowtije01,PG,24,TOT,5,31,.429,15.2,,.714,.000,.286,.143,.286,.286,,.600,,.500,1.000,.500,.000,,.000,,,.000,0,,1.000,.000,,0,0
145,Jeff Dowtin\dowtije01,PG,24,GSW,4,28,.500,13.8,,.833,.000,.333,.167,.333,.167,,.600,,.500,1.000,.500,.000,,.000,,,.000,0,,1.000,.000,,0,0
145,Jeff Dowtin\dowtije01,PG,24,MIL,1,3,.000,23.4,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,1.000,.000,,0,0
146,PJ Dozier\doziepj01,SG,25,DEN,18,340,.364,17.2,,.515,.141,.141,.081,.152,.485,,.412,.714,.143,.500,.333,.313,,.333,.867,,.051,4,,.271,.154,,0,0
147,Goran Dragić\dragigo01,PG,35,TOR,5,90,.382,15.3,,.588,.206,.147,.235,.000,.412,,.450,.571,.400,.375,,.286,,.111,.750,,.029,1,,.214,.000,,1,0
148,Andre Drummond\drumman01,C,28,PHI,49,902,.538,2.7,,.992,.706,.265,.021,.000,.008,,.542,.643,.286,.400,,.000,,.539,,,.235,48,,.000,,,1,0
149,Chris Duarte\duartch01,SG,24,IND,50,1433,.435,15.7,,.584,.200,.137,.143,.104,.416,,.485,.643,.380,.390,.450,.364,,.491,.770,,.030,15,,.276,.379,,4,0
150,David Duke Jr.\dukeda01,PG,22,BRK,17,289,.366,10.0,,.667,.495,.118,.022,.032,.333,,.419,.478,.273,.000,.333,.258,,.577,1.000,,.086,8,,.581,.278,,0,0
151,Kevin Durant\duranke01,PF,33,BRK,36,1313,.520,14.5,,.753,.123,.159,.313,.158,.247,,.568,.767,.509,.518,.574,.372,,.526,.612,,.040,26,,.067,.500,,0,0
152,Jaime Echenique\echenja01,C,24,WAS,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
153,Anthony Edwards\edwaran01,SG,20,MIN,51,1784,.441,15.0,,.521,.288,.133,.052,.048,.479,,.513,.651,.371,.286,.333,.362,,.364,.574,,.055,42,,.071,.375,,1,0
154,Kessler Edwards\edwarke02,SF,21,BRK,25,639,.417,14.6,,.500,.315,.095,.065,.024,.500,,.488,.472,.313,.727,.750,.345,,.610,1.000,,.101,13,,.381,.313,,0,0
155,Rob Edwards\edwarro01,SG,25,OKC,2,11,.250,24.3,,.000,.000,.000,.000,.000,1.000,,,,,,,.250,,,.000,,.000,0,,.500,.000,,0,0
156,CJ Elleby\ellebcj01,SF,21,POR,33,464,.408,14.3,,.569,.262,.185,.077,.046,.431,,.486,.588,.375,.500,.333,.304,,.611,.941,,.031,3,,.286,.188,,1,0
157,Wayne Ellington\ellinwa01,SG,34,LAL,34,657,.399,23.9,,.093,.033,.011,.033,.016,.907,,.471,.667,.500,.333,.333,.392,,1.000,.954,,.000,0,,.277,.478,,0,0
158,Joel Embiid\embiijo01,C,27,PHI,44,1451,.492,12.2,,.810,.231,.203,.240,.135,.190,,.523,.763,.414,.427,.448,.362,,.471,.644,,.054,44,,.055,.333,,0,0
159,James Ennis III\ennisja01,SF,31,TOT,7,56,.458,10.6,,.667,.542,.083,.000,.042,.333,,.500,.538,.500,,.000,.375,,.750,1.000,,.000,0,,.125,.000,,0,0
159,James Ennis III\ennisja01,SF,31,BRK,2,14,.286,8.3,,.714,.714,.000,.000,.000,.286,,.200,.200,,,,.500,,1.000,1.000,,.000,0,,.000,,,0,0
159,James Ennis III\ennisja01,SF,31,LAC,2,28,.636,12.3,,.636,.455,.091,.000,.091,.364,,.714,1.000,.000,,.000,.500,,.800,1.000,,.000,0,,.000,,,0,0
159,James Ennis III\ennisja01,SF,31,DEN,3,14,.333,10.0,,.667,.500,.167,.000,.000,.333,,.500,.333,1.000,,,.000,,.500,,,.000,0,,.500,.000,,0,0
160,Drew Eubanks\eubandr01,C,24,SAS,49,595,.528,5.7,,.950,.453,.384,.069,.044,.050,,.550,.597,.541,.455,.286,.125,,.759,1.000,,.226,31,,.250,.500,,0,0
161,Tacko Fall\fallta01,C,26,CLE,11,59,.417,3.2,,1.000,.667,.333,.000,.000,.000,,.417,.625,.000,,,,,.600,,,.250,2,,,,,0,0
162,Derrick Favors\favorde01,C,30,OKC,36,604,.506,9.9,,.912,.341,.159,.224,.188,.088,,.542,.672,.407,.553,.406,.133,,.833,1.000,,.071,10,,.867,.077,,0,0
163,Bruno Fernando\fernabr01,C,23,BOS,20,58,.500,17.9,,.929,.500,.071,.143,.214,.071,,.462,.571,.000,.500,.333,1.000,,.500,1.000,,.143,2,,.000,,,0,0
164,Dorian Finney-Smith\finnedo01,PF,28,DAL,56,1833,.435,16.5,,.397,.245,.105,.032,.015,.603,,.548,.698,.240,.467,.429,.360,,.777,.990,,.082,33,,.409,.427,,2,0
165,Malik Fitts\fittsma01,PF,24,UTA,7,35,.222,18.1,,.556,.111,.222,.111,.111,.444,,.000,.000,.000,.000,.000,.500,,,1.000,,.000,0,,.250,1.000,,1,1
166,Malachi Flynn\flynnma01,PG,23,TOR,32,290,.373,19.3,,.490,.069,.167,.078,.176,.510,,.440,.286,.529,.625,.333,.308,,.136,.750,,.000,0,,.135,.714,,2,0
167,Bryn Forbes\forbebr01,SG,28,TOT,53,927,.426,18.8,,.502,.049,.147,.132,.174,.498,,.444,.650,.400,.500,.380,.409,,.714,.952,,.000,0,,.172,.514,,0,0
167,Bryn Forbes\forbebr01,SG,28,SAS,40,676,.432,18.9,,.490,.054,.132,.155,.149,.510,,.448,.688,.359,.478,.409,.417,,.708,.937,,.000,0,,.179,.519,,0,0
167,Bryn Forbes\forbebr01,SG,28,DEN,13,251,.411,18.5,,.536,.036,.188,.071,.241,.464,,.433,.500,.476,.625,.333,.385,,.731,1.000,,.000,0,,.154,.500,,0,0
168,Aleem Ford\fordal03,SF,24,ORL,5,74,.300,19.5,,.250,.150,.100,.000,.000,.750,,.800,1.000,.500,,,.133,,.750,1.000,,.050,1,,.200,.000,,0,0
169,Trent Forrest\forretr01,PG,23,UTA,44,538,.538,8.6,,.837,.298,.471,.058,.010,.163,,.598,.710,.510,.667,1.000,.235,,.269,1.000,,.029,3,,.647,.273,,1,0
170,Evan Fournier\fournev01,SG,29,NYK,55,1605,.422,19.1,,.392,.096,.127,.081,.088,.608,,.466,.563,.400,.519,.407,.394,,.492,.888,,.006,3,,.266,.435,,2,0
171,De'Aaron Fox\foxde01,PG,24,SAC,46,1578,.461,12.2,,.787,.195,.270,.208,.114,.213,,.514,.718,.444,.443,.462,.263,,.210,.578,,.010,8,,.129,.182,,0,0
172,Tim Frazier\fraziti01,PG,31,ORL,10,200,.302,17.5,,.605,.070,.186,.116,.233,.395,,.269,1.000,.250,.200,.100,.353,,.286,.833,,.000,0,,.235,.250,,0,0
173,Enes Freedom\kanteen01,C,29,BOS,35,411,.526,4.4,,.948,.557,.330,.041,.021,.052,,.533,.537,.500,.500,1.000,.400,,.388,1.000,,.031,2,,.200,1.000,,0,0
174,Wenyen Gabriel\gabriwe01,PF,24,TOT,7,47,.385,11.2,,.615,.385,.231,.000,.000,.385,,.375,.400,.333,,,.400,,.000,1.000,,.000,0,,.200,.000,,0,0
174,Wenyen Gabriel\gabriwe01,PF,24,BRK,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
174,Wenyen Gabriel\gabriwe01,PF,24,LAC,6,46,.385,11.2,,.615,.385,.231,.000,.000,.385,,.375,.400,.333,,,.400,,.000,1.000,,.000,0,,.200,.000,,0,0
175,Daniel Gafford\gaffoda01,C,23,WAS,48,988,.678,3.0,,1.000,.644,.307,.030,.019,.000,,.678,.843,.402,.375,.000,,,.713,,,.431,99,,,,,0,0
176,Danilo Gallinari\gallida01,PF,33,ATL,45,1042,.415,19.2,,.487,.100,.095,.146,.146,.513,,.441,.686,.273,.471,.353,.391,,.480,.900,,.029,10,,.112,.450,,2,1
177,Langston Galloway\gallola01,SG,30,TOT,7,107,.231,19.4,,.385,.115,.038,.115,.115,.615,,.400,.333,.000,.667,.333,.125,,.500,.500,,.000,0,,.375,.000,,0,0
177,Langston Galloway\gallola01,SG,30,BRK,4,58,.385,19.0,,.385,.154,.000,.154,.077,.615,,.600,.500,,1.000,.000,.250,,.667,.500,,.000,0,,.250,.000,,0,0
177,Langston Galloway\gallola01,SG,30,MIL,3,49,.077,19.9,,.385,.077,.077,.077,.154,.615,,.200,.000,.000,.000,.500,.000,,.000,,,.000,0,,.500,.000,,0,0
178,Darius Garland\garlada01,PG,22,CLE,46,1591,.474,16.4,,.583,.169,.168,.153,.093,.417,,.544,.619,.480,.535,.536,.377,,.280,.530,,.001,0,,.126,.385,,2,1
179,Marcus Garrett\garrema01,SG,23,MIA,12,128,.238,9.3,,.810,.476,.143,.095,.095,.190,,.235,.200,.333,.000,.500,.250,,.500,1.000,,.000,0,,.500,.000,,0,0
180,Usman Garuba\garubus01,PF,19,HOU,15,105,.333,14.3,,.458,.458,.000,.000,.000,.542,,.545,.545,,,,.154,,.500,1.000,,.083,1,,.308,.000,,0,0
181,Luka Garza\garzalu01,C,23,DET,29,340,.444,12.6,,.669,.298,.218,.056,.097,.331,,.494,.676,.444,.143,.250,.341,,.488,1.000,,.032,4,,.049,.000,,0,0
182,Rudy Gay\gayru01,PF,35,UTA,35,699,.418,17.7,,.438,.156,.121,.117,.043,.563,,.518,.775,.355,.367,.455,.340,,.448,.898,,.043,9,,.257,.405,,0,0
183,Paul George\georgpa01,SF,31,LAC,26,924,.421,16.4,,.610,.147,.122,.167,.173,.390,,.484,.659,.382,.473,.417,.323,,.220,.557,,.022,10,,.166,.500,,0,0
184,Taj Gibson\gibsota01,C,36,NYK,37,674,.533,9.0,,.800,.419,.200,.124,.057,.200,,.571,.705,.429,.538,.167,.381,,.625,1.000,,.143,12,,.571,.500,,0,0
185,Josh Giddey\giddejo01,SG,19,OKC,51,1591,.415,12.8,,.672,.193,.335,.091,.052,.328,,.492,.647,.437,.446,.344,.257,,.296,.827,,.007,2,,.213,.326,,0,0
186,Shai Gilgeous-Alexander\gilgesh01,PG,23,OKC,43,1487,.424,12.4,,.694,.241,.292,.121,.041,.306,,.488,.642,.400,.400,.469,.278,,.131,.284,,.024,18,,.071,.353,,0,0
187,Anthony Gill\gillan01,PF,29,WAS,23,166,.676,8.4,,.784,.324,.432,.027,.000,.216,,.690,.750,.688,.000,,.625,,.800,1.000,,.027,1,,.125,.000,,0,0
188,Freddie Gillespie\gillefr01,PF,24,ORL,9,119,.409,6.5,,.955,.273,.545,.136,.000,.045,,.429,.333,.417,.667,,.000,,.778,,,.091,2,,1.000,.000,,0,0
189,Rudy Gobert\goberru01,C,29,UTA,42,1364,.707,2.7,,.994,.725,.257,.012,.000,.006,,.712,.794,.477,.750,,.000,,.738,,,.475,147,,.000,,,1,0
190,Brandon Goodwin\goodwbr01,PG,26,CLE,16,254,.388,13.8,,.624,.259,.212,.118,.035,.376,,.396,.636,.222,.200,.333,.375,,.286,.667,,.000,0,,.094,.333,,1,0
191,Jordan Goodwin\goodwjo01,SG,23,WAS,2,6,.000,16.6,,.667,.333,.000,.000,.333,.333,,.000,.000,,,.000,.000,,,,,.000,0,,.000,,,0,0
192,Aaron Gordon\gordoaa01,PF,26,DEN,51,1621,.519,11.7,,.677,.363,.174,.097,.043,.323,,.607,.802,.402,.315,.458,.333,,.620,.817,,.151,77,,.406,.384,,2,0
193,Eric Gordon\gordoer01,SG,33,HOU,45,1326,.491,15.5,,.489,.271,.190,.020,.009,.511,,.558,.685,.402,.333,.500,.427,,.320,.700,,.007,3,,.064,.533,,0,0
194,Devonte' Graham\grahade01,PG,26,NOP,52,1615,.361,21.2,,.320,.082,.065,.063,.110,.680,,.394,.577,.268,.400,.329,.345,,.325,.752,,.002,1,,.123,.377,,3,1
195,Jerami Grant\grantje01,PF,27,DET,31,1001,.411,14.8,,.659,.213,.158,.097,.192,.341,,.457,.634,.413,.217,.418,.321,,.510,.942,,.040,19,,.346,.304,,1,0
196,Hassani Gravett\graveha01,PG,25,ORL,8,171,.474,20.9,,.316,.079,.105,.079,.053,.684,,.583,.333,.500,1.000,.500,.423,,.429,.727,,.000,0,,.192,.600,,1,0
197,Danny Green\greenda02,SF,34,PHI,38,888,.407,21.6,,.164,.075,.056,.023,.009,.836,,.514,.750,.167,.600,.500,.385,,.833,.913,,.005,1,,.441,.418,,1,0
198,Draymond Green\greendr01,PF,31,GSW,34,1018,.537,9.7,,.791,.353,.323,.065,.050,.209,,.604,.732,.585,.231,.300,.286,,.698,1.000,,.114,20,,.238,.100,,2,0
199,Jalen Green\greenja05,SG,19,HOU,40,1213,.381,15.5,,.516,.288,.125,.024,.079,.484,,.462,.621,.238,.250,.300,.295,,.458,.667,,.073,31,,.156,.368,,0,0
200,JaMychal Green\greenja01,PF,31,DEN,43,636,.453,13.5,,.561,.327,.154,.037,.042,.439,,.608,.729,.394,.250,.778,.255,,.671,1.000,,.168,31,,.298,.321,,1,0
201,Javonte Green\greenja02,SF,28,CHI,40,953,.541,8.3,,.722,.566,.141,.015,.000,.278,,.628,.698,.414,.000,,.316,,.731,1.000,,.210,41,,.614,.400,,0,0
202,Jeff Green\greenje02,C,35,DEN,52,1280,.511,11.4,,.679,.313,.263,.068,.034,.321,,.597,.782,.500,.346,.154,.328,,.805,.975,,.129,44,,.484,.339,,1,0
203,Josh Green\greenjo02,SG,21,DAL,42,588,.507,10.1,,.770,.358,.223,.128,.061,.230,,.570,.755,.424,.421,.333,.294,,.723,1.000,,.088,13,,.647,.318,,1,0
204,Blake Griffin\griffbl01,PF,32,BRK,45,847,.416,13.0,,.552,.352,.153,.032,.014,.448,,.568,.616,.535,.222,.500,.230,,.659,.931,,.060,12,,.286,.222,,0,0
205,Quentin Grimes\grimequ01,SG,21,NYK,37,624,.419,22.1,,.204,.081,.022,.022,.081,.796,,.500,.800,.000,.250,.400,.399,,.579,.949,,.016,3,,.257,.500,,0,0
206,Kyle Guy\guyky01,SG,24,MIA,15,175,.433,18.0,,.417,.117,.183,.033,.083,.583,,.480,.857,.091,.500,.800,.400,,.500,.786,,.000,0,,.257,.444,,0,0
207,Rui Hachimura\hachiru01,PF,23,WAS,16,293,.451,14.4,,.699,.186,.168,.150,.195,.301,,.456,.810,.263,.471,.273,.441,,.583,1.000,,.053,5,,.324,.364,,0,0
208,Tyrese Haliburton\halibty01,SG-PG,21,TOT,53,1837,.462,16.9,,.561,.115,.179,.161,.106,.439,,.493,.732,.355,.475,.492,.422,,.241,.570,,.020,12,,.152,.488,,3,0
208,Tyrese Haliburton\halibty01,SG,21,SAC,51,1757,.457,16.8,,.570,.118,.183,.164,.106,.430,,.491,.739,.355,.458,.500,.413,,.238,.587,,.020,12,,.147,.486,,3,0
208,Tyrese Haliburton\halibty01,PG,21,IND,2,80,.552,20.3,,.379,.069,.103,.103,.103,.621,,.545,.500,.333,1.000,.333,.556,,.333,.400,,.000,0,,.222,.500,,0,0
209,Tyler Hall\hallty01,SG,24,NYK,1,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
210,R.J. Hampton\hamptrj01,SG,20,ORL,42,815,.382,13.3,,.618,.246,.279,.050,.043,.382,,.393,.507,.346,.143,.333,.364,,.353,.897,,.036,7,,.187,.350,,0,0
211,Tim Hardaway Jr.\hardati02,SG,29,DAL,42,1245,.394,19.6,,.426,.094,.092,.098,.142,.574,,.473,.680,.429,.404,.413,.336,,.664,.804,,.034,15,,.194,.322,,4,0
212,James Harden\hardeja01,PG,32,BRK,44,1627,.414,14.2,,.565,.239,.242,.061,.023,.435,,.476,.574,.386,.419,.563,.332,,.158,.235,,.008,6,,.052,.188,,0,0
213,Maurice Harkless\harklma01,SF,28,SAC,39,767,.461,15.2,,.437,.246,.168,.006,.018,.563,,.644,.683,.643,.000,.333,.319,,.766,1.000,,.114,15,,.606,.368,,0,0
214,Jared Harper\harpeja01,PG,24,NOP,2,10,.429,14.5,,.714,.143,.286,.143,.143,.286,,.400,.000,1.000,.000,.000,.500,,.000,1.000,,.000,0,,.500,1.000,,0,0
215,Montrezl Harrell\harremo01,C,28,TOT,48,1168,.653,5.3,,.963,.518,.325,.085,.035,.038,,.668,.797,.546,.471,.357,.267,,.650,1.000,,.273,106,,.133,.500,,2,0
215,Montrezl Harrell\harremo01,C,28,WAS,46,1117,.645,5.5,,.961,.517,.319,.089,.037,.039,,.660,.788,.541,.471,.357,.267,,.646,1.000,,.272,101,,.133,.500,,2,0
215,Montrezl Harrell\harremo01,C,28,CHO,2,51,.824,2.5,,1.000,.529,.471,.000,.000,.000,,.824,1.000,.625,,,,,.714,,,.294,5,,,,,0,0
216,Gary Harris\harriga01,SG,27,ORL,50,1471,.440,16.8,,.479,.147,.165,.053,.113,.521,,.504,.667,.494,.440,.340,.381,,.584,.925,,.013,5,,.471,.470,,0,0
217,Joe Harris\harrijo01,SF,30,BRK,14,423,.452,19.6,,.290,.113,.105,.048,.024,.710,,.417,.429,.385,.500,.333,.466,,.867,1.000,,.000,0,,.307,.630,,0,0
218,Tobias Harris\harrito02,PF,29,PHI,47,1664,.487,11.0,,.773,.262,.294,.173,.044,.227,,.526,.683,.455,.447,.387,.354,,.446,.842,,.041,28,,.180,.276,,0,0
219,Shaquille Harrison\harrish01,SG,28,BRK,2,23,.333,9.5,,.667,.500,.167,.000,.000,.333,,.500,.667,.000,,,.000,,.500,,,.000,0,,1.000,.000,,0,0
220,Josh Hart\hartjo01,PF-SG,26,TOT,42,1411,.508,11.6,,.658,.437,.136,.050,.035,.342,,.599,.695,.407,.400,.429,.331,,.497,.867,,.038,14,,.206,.607,,0,0
220,Josh Hart\hartjo01,PF,26,NOP,41,1374,.505,11.4,,.663,.440,.137,.052,.034,.337,,.598,.688,.415,.400,.462,.323,,.503,.857,,.039,14,,.208,.593,,0,0
220,Josh Hart\hartjo01,SG,26,POR,1,37,.583,15.5,,.500,.333,.083,.000,.083,.500,,.667,1.000,.000,,.000,.500,,.250,1.000,,.000,0,,.167,1.000,,0,0
221,Isaiah Hartenstein\harteis01,C,23,LAC,44,695,.619,4.8,,.972,.482,.394,.096,.000,.028,,.623,.743,.512,.476,,.500,,.758,.667,,.206,40,,.000,,,0,0
222,Udonis Haslem\hasleud01,C,41,MIA,9,57,.500,6.7,,.909,.545,.182,.136,.045,.091,,.500,.667,.000,.667,.000,.500,,.800,1.000,,.000,0,,1.000,.500,,0,0
223,Sam Hauser\hausesa01,SF,24,BOS,10,41,.286,27.8,,.000,.000,.000,.000,.000,1.000,,,,,,,.286,,,1.000,,.000,0,,.214,.333,,0,0
224,Jaxson Hayes\hayesja02,C,21,NOP,44,725,.630,6.4,,.880,.574,.236,.042,.028,.120,,.679,.774,.549,.333,.333,.269,,.798,1.000,,.338,69,,.269,.143,,1,0
225,Killian Hayes\hayeski01,PG,20,DET,44,1093,.368,14.8,,.607,.154,.235,.140,.077,.393,,.428,.705,.313,.350,.364,.277,,.378,.903,,.025,6,,.375,.381,,0,0
226,Gordon Hayward\haywago01,SF,31,CHO,48,1547,.460,14.4,,.643,.216,.172,.155,.100,.357,,.499,.682,.324,.389,.574,.390,,.577,.871,,.033,19,,.206,.444,,0,0
227,Aaron Henry\henryaa01,SF,22,PHI,6,17,.200,12.0,,.800,.200,.200,.400,.000,.200,,.250,1.000,.000,.000,,.000,,1.000,,,.000,0,,.000,,,0,0
228,Juancho Hernangómez\hernaju01,PF,26,TOT,24,148,.212,17.7,,.364,.182,.152,.030,.000,.636,,.333,.667,.000,.000,,.143,,.500,1.000,,.000,0,,.190,.000,,0,0
228,Juancho Hernangómez\hernaju01,PF,26,BOS,18,96,.185,18.6,,.333,.148,.148,.037,.000,.667,,.222,.500,.000,.000,,.167,,1.000,1.000,,.000,0,,.167,.000,,0,0
228,Juancho Hernangómez\hernaju01,PF,26,SAS,5,51,.333,13.8,,.500,.333,.167,.000,.000,.500,,.667,1.000,.000,,,.000,,.000,,,.000,0,,.333,.000,,0,0
228,Juancho Hernangómez\hernaju01,PF,26,UTA,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
229,Willy Hernangómez\hernawi01,C,27,NOP,29,480,.529,4.0,,.963,.583,.342,.037,.000,.037,,.533,.661,.328,.429,,.429,,.729,1.000,,.134,24,,.000,,,0,0
230,Tyler Herro\herroty01,SG,22,MIA,46,1504,.427,16.2,,.611,.127,.190,.158,.136,.389,,.461,.673,.371,.437,.417,.374,,.339,.716,,.014,9,,.181,.375,,4,0
231,Buddy Hield\hieldbu01,SG,29,TOT,57,1654,.380,20.8,,.289,.112,.066,.056,.055,.711,,.427,.585,.208,.341,.450,.361,,.456,.845,,.005,4,,.137,.394,,2,1
231,Buddy Hield\hieldbu01,SG,29,SAC,55,1574,.382,20.8,,.286,.114,.063,.052,.056,.714,,.419,.582,.205,.306,.436,.368,,.482,.841,,.006,4,,.131,.431,,2,1
231,Buddy Hield\hieldbu01,SG,29,IND,2,80,.333,19.6,,.361,.083,.111,.139,.028,.639,,.538,.667,.250,.600,1.000,.217,,.143,1.000,,.000,0,,.261,.000,,0,0
232,Haywood Highsmith\highsha01,SF,25,MIA,4,42,.500,20.6,,.125,.125,.000,.000,.000,.875,,.000,.000,,,,.571,,,1.000,,.000,0,,.857,.667,,0,0
233,George Hill\hillge01,SG,35,MIL,41,1044,.436,15.7,,.500,.252,.137,.064,.047,.500,,.556,.763,.344,.333,.364,.316,,.462,.946,,.017,3,,.402,.383,,1,0
234,Malcolm Hill\hillma01,SF-SG,26,TOT,16,196,.479,19.5,,.313,.104,.125,.021,.063,.688,,.667,.600,.667,.000,1.000,.394,,.700,.846,,.000,0,,.333,.636,,0,0
234,Malcolm Hill\hillma01,SG,26,ATL,3,46,.625,19.0,,.375,.125,.000,.125,.125,.625,,.667,1.000,,.000,1.000,.600,,.500,1.000,,.000,0,,.800,.750,,0,0
234,Malcolm Hill\hillma01,SF,26,CHI,13,150,.450,19.6,,.300,.100,.150,.000,.050,.700,,.667,.500,.667,,1.000,.357,,.750,.800,,.000,0,,.250,.571,,0,0
