Rk,Player,Pos,Age,Team,G,MP,,FG,2P,3P,eFG,FT,TS,FTr,3PAr,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,,
31,Desmond Bane\banede01,SF,23,MEM,54,1624,,.463,.506,.415,.561,.900,.586,.129,.477,,101,96,119,107,116,105,54,119,,54.9,43.5
32,Dalano Banton\bantoda01,SF,22,TOR,45,535,,.415,.470,.262,.450,.625,.471,.201,.264,,91,89,75,86,81,84,84,66,,-24.2,-30.7
33,Cat Barber\barbeca01,PG,27,ATL,3,13,,.000,.000,,.000,.000,.000,1.000,.000,,,,,,,,416,,,-4.2,-6.4
34,Harrison Barnes\barneha02,PF,29,SAC,53,1788,,.467,.510,.411,.556,.827,.626,.506,.434,,102,97,118,106,107,112,210,108,,36.1,96.8
35,Scottie Barnes\barnesc01,PF,20,TOR,47,1684,,.475,.519,.317,.510,.736,.542,.250,.219,,104,98,91,97,95,97,104,55,,-18.8,-22.5
36,RJ Barrett\barrerj01,SF,21,NYK,48,1587,,.412,.445,.354,.476,.695,.513,.300,.365,,90,84,101,91,90,92,125,91,,-73.5,-78.4
37,Will Barton\bartowi01,SG,31,DEN,49,1595,,.445,.504,.377,.533,.771,.552,.128,.467,,98,96,108,101,100,99,53,117,,9.5,-11.0
38,Charles Bassey\bassech01,PF,21,PHI,22,161,,.651,.718,.000,.651,.727,.669,.256,.093,,143,136,,124,94,120,106,23,,10.8,10.5
39,Paris Bass\basspa01,SF,26,PHO,2,7,,.333,.500,.000,.333,1.000,.436,.333,.333,,73,95,,63,129,78,139,83,,-2.3,-1.7
40,Keita Bates-Diop\bateske01,SF,26,SAS,43,708,,.500,.549,.333,.538,.690,.560,.226,.226,,110,104,95,102,89,100,94,56,,4.4,.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Nicolas Batum\batumni01,PF,33,LAC,37,918,,.485,.697,.405,.632,.667,.637,.100,.724,,106,132,116,120,86,114,42,181,,50.6,38.7
42,Kent Bazemore\bazemke01,SF,32,LAL,31,455,,.328,.296,.354,.424,.765,.451,.143,.546,,72,56,101,81,99,81,59,136,,-24.2,-27.6
43,Darius Bazley\bazleda01,PF,21,OKC,51,1377,,.400,.469,.294,.458,.696,.491,.253,.396,,88,89,84,87,90,88,105,99,,-61.6,-68.9
44,Bradley Beal\bealbr01,SG,28,WAS,40,1439,,.451,.508,.300,.492,.833,.539,.263,.272,,99,96,86,94,108,96,109,68,,-52.0,-34.9
45,Malik Beasley\beaslma01,SG,25,MIN,57,1463,,.381,.435,.359,.509,.762,.519,.064,.716,,83,83,103,97,99,93,27,179,,-21.9,-54.6
46,Jordan Bell\belljo01,C,27,CHI,1,2,,,,,,,,,,,,,,,,,,,,.0,.0
47,DeAndre' Bembry\bembrde01,SF,27,BRK,48,949,,.568,.599,.417,.603,.600,.609,.164,.169,,125,114,119,115,78,109,68,42,,33.0,22.4
48,Dāvis Bertāns\bertada01,PF,29,WAS,34,501,,.351,.519,.319,.485,.933,.527,.175,.842,,77,98,91,92,121,94,73,210,,-13.9,-12.2
49,Patrick Beverley\beverpa01,PG,33,MIN,38,990,,.406,.482,.340,.497,.722,.528,.246,.532,,89,91,97,94,93,94,102,133,,-17.2,-20.4
50,Saddiq Bey\beysa01,SF,22,DET,56,1878,,.385,.436,.339,.474,.833,.513,.206,.525,,84,83,97,90,108,92,86,131,,-81.8,-79.6
51,Khem Birch\birchkh01,C,29,TOR,29,542,,.486,.524,.000,.486,.750,.541,.396,.072,,107,99,,93,97,97,165,18,,-8.8,-4.9
52,Goga Bitadze\bitadgo01,C,22,IND,34,387,,.442,.576,.174,.471,.625,.503,.348,.333,,97,109,50,90,81,90,145,83,,-15.2,-18.1
53,Bismack Biyombo\biyombi01,C,29,PHO,17,308,,.615,.615,,.615,.529,.612,.531,.000,,135,117,,117,69,109,221,,,17.0,12.4
54,Nemanja Bjelica\bjeline01,C,33,GSW,51,786,,.448,.543,.336,.525,.682,.550,.255,.459,,98,103,96,100,88,98,106,115,,-0.4,-5.4
55,Eric Bledsoe\bledser01,PG,32,LAC,54,1361,,.421,.479,.313,.475,.761,.514,.250,.348,,92,91,90,90,98,92,104,87,,-47.3,-47.4
56,Keljin Blevins\blevike01,SF,26,POR,12,73,,.391,.333,.429,.522,.000,.503,.087,.609,,86,63,123,99,,90,36,152,,-0.2,-2.7
57,Bogdan Bogdanović\bogdabo01,SG,29,ATL,38,1094,,.424,.503,.369,.533,.827,.553,.122,.590,,93,95,106,101,107,99,51,147,,5.9,-5.5
58,Bojan Bogdanović\bogdabo02,PF,32,UTA,54,1673,,.454,.527,.376,.544,.868,.593,.283,.481,,100,100,108,104,112,106,118,120,,26.7,54.7
