Rk,Player,Pos,Age,Tm,G,MP,PE_PG%,PE_SG%,PE_SF%,PE_PF%,PE_C%,+/-_OnCourt,+/-_On-Off,TO_BadPass,TO_LostBall,Shoot_Fl_Com,Off._Fl_Com,Shoot_Fl_Drn,Off._Fl_Drn,PGA,And1,Blkd
163,Bruno Fernando\fernabr01,C,23,BOS,20,58,,,,12%,88%,-18.8,-24.3,0,1,2,2,2,0,10,1,2
164,Dorian Finney-Smith\finnedo01,PF,28,DAL,56,1833,,,42%,57%,1%,4.8,4.7,34,6,50,9,29,3,264,4,23
165,Malik Fitts\fittsma01,PF,24,UTA,7,35,,,,67%,33%,-39.2,-46.4,1,0,2,0,0,0,0,0,1
166,Malachi Flynn\flynnma01,PG,23,TOR,32,290,99%,1%,,,,-5.9,-8.9,7,1,14,2,3,1,84,1,5
167,Bryn Forbes\forbebr01,SG,28,TOT,53,927,21%,73%,6%,,,-2.5,-4.3,19,10,31,6,24,3,131,5,24
167,Bryn Forbes\forbebr01,SG,28,SAS,40,676,28%,70%,2%,,,-3.8,-5.6,15,7,16,5,18,3,92,3,16
167,Bryn Forbes\forbebr01,SG,28,DEN,13,251,2%,81%,18%,,,1.0,-1.1,4,3,15,1,6,0,39,2,8
168,Aleem Ford\fordal03,SF,24,ORL,5,74,,11%,44%,33%,11%,-21.2,-12.7,0,2,3,1,0,1,4,0,1
169,Trent Forrest\forretr01,PG,23,UTA,44,538,87%,13%,,,,4.7,-2.5,20,4,15,3,17,0,160,4,8
170,Evan Fournier\fournev01,SG,29,NYK,55,1605,,72%,27%,,,-3.1,-5.0,36,29,49,8,33,8,240,10,22
171,De'Aaron Fox\foxde01,PG,24,SAC,46,1578,100%,,,,,-4.4,0.2,61,47,54,12,135,26,564,36,37
172,Tim Frazier\fraziti01,PG,31,ORL,10,200,100%,,,,,-17.7,-9.6,8,2,7,2,4,4,77,1,2
173,Enes Freedom\kanteen01,C,29,BOS,35,411,,,,,100%,8.9,4.6,3,9,29,4,15,1,19,5,16
174,Wenyen Gabriel\gabriwe01,PF,24,TOT,7,47,,,,,100%,-0.8,0.6,2,0,8,1,2,0,4,0,2
174,Wenyen Gabriel\gabriwe01,PF,24,BRK,1,1,,,,,100%,100.0,99.7,0,0,0,0,0,0,0,0,0
174,Wenyen Gabriel\gabriwe01,PF,24,LAC,6,46,,,,,100%,-3.0,-1.6,2,0,8,1,2,0,4,0,2
175,Daniel Gafford\gaffoda01,C,23,WAS,48,988,,,,,100%,-6.4,-5.1,14,18,78,10,47,3,120,18,27
176,Danilo Gallinari\gallida01,PF,33,ATL,45,1042,,,,65%,35%,1.5,2.1,8,11,26,4,44,3,150,4,5
177,Langston Galloway\gallola01,SG,30,TOT,7,107,48%,31%,21%,,,-3.1,-5.0,3,1,4,1,0,1,29,0,1
177,Langston Galloway\gallola01,SG,30,BRK,4,58,4%,57%,38%,,,10.9,10.8,2,1,3,1,0,1,13,0,0
177,Langston Galloway\gallola01,SG,30,MIL,3,49,100%,,,,,-19.7,-23.7,1,0,1,0,0,0,16,0,1
178,Darius Garland\garlada01,PG,22,CLE,46,1591,96%,4%,,,,8.6,10.5,100,41,34,11,34,13,854,11,25
179,Marcus Garrett\garrema01,SG,23,MIA,12,128,2%,62%,36%,1%,,9.6,4.8,1,1,8,0,3,1,17,1,3
180,Usman Garuba\garubus01,PF,19,HOU,15,105,,,,35%,65%,17.5,28.2,1,1,3,1,1,2,19,0,2
181,Luka Garza\garzalu01,C,23,DET,29,340,,,,1%,99%,-6.3,4.9,6,2,28,7,19,7,40,5,14
182,Rudy Gay\gayru01,PF,35,UTA,35,699,,,,71%,29%,7.2,0.7,12,12,33,4,28,4,99,5,12
183,Paul George\georgpa01,SF,31,LAC,26,924,,4%,49%,45%,2%,1.3,4.1,70,29,24,7,51,10,346,11,27
184,Taj Gibson\gibsota01,C,36,NYK,37,674,,,,9%,92%,6.7,10.2,7,1,41,10,14,3,67,3,5
185,Josh Giddey\giddejo01,SG,19,OKC,51,1591,5%,61%,33%,2%,,-8.9,-4.0,98,37,42,8,35,3,759,6,44
186,Shai Gilgeous-Alexander\gilgesh01,PG,23,OKC,43,1487,76%,23%,,,,-5.6,3.6,48,34,39,15,120,5,583,19,51
