Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
24,LaMelo Ball\ballla01,PG,20,CHO,51,1654,20.2,.547,.431,.210,5.2,17.8,11.3,35.3,2.4,1.1,14.6,28.0,,2.6,1.6,4.2,.122,,3.4,0.2,3.6,2.3
25,Lonzo Ball\balllo01,PG,24,CHI,35,1212,14.7,.575,.679,.073,3.2,14.0,8.7,19.9,2.6,2.2,17.2,17.3,,1.0,1.4,2.4,.096,,1.2,1.4,2.7,1.4
26,Mo Bamba\bambamo01,C,23,ORL,47,1235,16.0,.565,.437,.126,8.5,23.9,16.2,8.0,1.1,6.5,12.3,16.8,,1.0,1.7,2.7,.103,,-0.6,1.0,0.4,0.7
27,Desmond Bane\banede01,SF,23,MEM,54,1624,17.1,.586,.477,.129,1.9,13.9,7.8,12.4,1.9,1.4,9.4,23.0,,2.9,1.8,4.7,.138,,2.1,-0.1,2.1,1.7
28,Dalano Banton\bantoda01,SF,22,TOR,45,535,10.1,.471,.264,.201,5.6,15.2,10.2,19.4,2.2,1.5,21.0,17.6,,-0.3,0.6,0.2,.022,,-3.5,0.2,-3.3,-0.2
29,Cat Barber\barbeca01,PG,27,ATL,3,13,-11.2,.000,.000,1.000,8.4,16.6,12.6,27.1,0.0,0.0,14.8,22.7,,-0.1,0.0,-0.1,-0.457,,-15.8,-7.7,-23.5,-0.1
30,Harrison Barnes\barneha02,PF,29,SAC,53,1788,16.9,.626,.434,.506,3.5,16.1,9.8,10.8,1.0,0.4,10.2,19.4,,4.2,0.6,4.8,.128,,2.3,-1.3,1.0,1.4
31,Scottie Barnes\barnesc01,PF,20,TOR,47,1684,15.3,.542,.219,.250,7.2,16.3,11.5,14.1,1.4,2.2,12.2,18.5,,2.2,1.6,3.8,.108,,0.0,0.0,0.0,0.8
32,RJ Barrett\barrerj01,SF,21,NYK,48,1587,13.3,.513,.365,.300,2.7,15.9,9.2,13.5,0.8,0.9,10.1,25.9,,0.2,1.3,1.5,.045,,-0.3,-1.3,-1.6,0.2
33,Will Barton\bartowi01,SG,31,DEN,49,1595,14.5,.552,.467,.128,2.3,14.4,8.5,18.8,1.3,1.4,11.9,21.5,,1.2,1.5,2.6,.079,,1.1,-0.6,0.5,1.0
34,Paris Bass\basspa01,SF,26,PHO,2,7,14.4,.436,.333,.333,31.1,29.6,30.3,0.0,6.9,0.0,22.5,54.7,,0.0,0.0,0.0,-0.153,,-11.0,-1.4,-12.4,0.0
